RAM 5286/31760MB (lfb 5765x4MB) SWAP 0/15880MB (cached 0MB) CPU [27%@1804,22%@1804,27%@1804,32%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 3% AO@39C GPU@42C iwlwifi@41C Tdiode@41.75C PMIC@100C AUX@39C CPU@41C thermal@40.35C Tboard@38C GPU 7721/7661 CPU 1234/1293 SOC 4320/4367 CV 0/0 VDDRQ 2315/2291 SYS5V 4607/4616
RAM 5286/31760MB (lfb 5765x4MB) SWAP 0/15880MB (cached 0MB) CPU [19%@1804,26%@1804,27%@1804,30%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 82%@905 APE 150 MTS fg 0% bg 3% AO@39C GPU@42C iwlwifi@41C Tdiode@42.75C PMIC@100C AUX@39C CPU@41C thermal@40.5C Tboard@38C GPU 7721/7665 CPU 1234/1289 SOC 4320/4364 CV 0/0 VDDRQ 2315/2292 SYS5V 4607/4615
RAM 5285/31760MB (lfb 5765x4MB) SWAP 0/15880MB (cached 0MB) CPU [21%@1804,24%@1804,31%@1804,33%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 98%@905 APE 150 MTS fg 0% bg 4% AO@39C GPU@42C iwlwifi@41C Tdiode@41.75C PMIC@100C AUX@39.5C CPU@41C thermal@40.5C Tboard@38C GPU 7721/7669 CPU 1234/1285 SOC 4320/4361 CV 0/0 VDDRQ 2314/2294 SYS5V 4607/4615
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [22%@1804,24%@1804,22%@1804,30%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 3% AO@39C GPU@42C iwlwifi@41C Tdiode@42C PMIC@100C AUX@39.5C CPU@41C thermal@40.5C Tboard@38C GPU 7721/7672 CPU 1235/1282 SOC 4320/4358 CV 0/0 VDDRQ 2161/2285 SYS5V 4607/4614
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [31%@1804,17%@1804,25%@1804,31%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 3% AO@39C GPU@42C iwlwifi@41C Tdiode@42C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.5C Tboard@38C GPU 7721/7675 CPU 1234/1279 SOC 4320/4356 CV 0/0 VDDRQ 2315/2287 SYS5V 4607/4614
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [23%@1804,25%@1804,24%@1804,28%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 98%@905 APE 150 MTS fg 0% bg 2% AO@39C GPU@42C iwlwifi@41C Tdiode@42C PMIC@100C AUX@39.5C CPU@41C thermal@40.5C Tboard@38C GPU 7721/7678 CPU 1234/1277 SOC 4320/4354 CV 0/0 VDDRQ 2315/2289 SYS5V 4607/4613
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [26%@1804,24%@1804,31%@1804,21%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 98%@905 APE 150 MTS fg 0% bg 3% AO@39C GPU@42C iwlwifi@41C Tdiode@42C PMIC@100C AUX@39.5C CPU@41C thermal@40.7C Tboard@38C GPU 7721/7680 CPU 1234/1274 SOC 4320/4352 CV 0/0 VDDRQ 2161/2282 SYS5V 4607/4613
RAM 5285/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [27%@1804,22%@1804,29%@1804,25%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@39C GPU@42C iwlwifi@42C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41C thermal@40.85C Tboard@38C GPU 7876/7690 CPU 1234/1272 SOC 4320/4350 CV 0/0 VDDRQ 2315/2283 SYS5V 4607/4613
RAM 5285/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [19%@1804,27%@1804,30%@1804,31%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@39C GPU@42C iwlwifi@41C Tdiode@42C PMIC@100C AUX@39.5C CPU@41C thermal@40.7C Tboard@38C GPU 7721/7691 CPU 1234/1270 SOC 4320/4349 CV 0/0 VDDRQ 2161/2278 SYS5V 4607/4612
RAM 5285/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [22%@1804,15%@1804,36%@1804,31%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@39C GPU@42C iwlwifi@41C Tdiode@42C PMIC@100C AUX@39.5C CPU@41C thermal@40.7C Tboard@38C GPU 7876/7699 CPU 1234/1269 SOC 4320/4348 CV 0/0 VDDRQ 2315/2279 SYS5V 4607/4612
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [22%@1804,31%@1804,24%@1804,25%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@39.5C GPU@42C iwlwifi@44C Tdiode@42C PMIC@100C AUX@39.5C CPU@41C thermal@40.7C Tboard@38C GPU 7876/7707 CPU 1234/1267 SOC 4320/4346 CV 0/0 VDDRQ 2315/2281 SYS5V 4607/4612
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [22%@1804,25%@1804,24%@1804,30%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@39C GPU@42C iwlwifi@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41C thermal@40.85C Tboard@38C GPU 7876/7714 CPU 1234/1266 SOC 4320/4345 CV 0/0 VDDRQ 2315/2282 SYS5V 4607/4612
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [19%@1804,21%@1804,33%@1804,33%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@39C GPU@42.5C iwlwifi@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@39C GPU 7876/7721 CPU 1234/1264 SOC 4320/4344 CV 0/0 VDDRQ 2315/2284 SYS5V 4607/4611
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [34%@1804,21%@1804,26%@1804,22%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 2% AO@39C GPU@42.5C iwlwifi@44C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41C thermal@40.85C Tboard@39C GPU 7876/7727 CPU 1234/1263 SOC 4320/4343 CV 0/0 VDDRQ 2314/2285 SYS5V 4607/4611
RAM 5285/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [21%@1804,26%@1804,29%@1804,23%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@39.5C GPU@42.5C iwlwifi@41C Tdiode@42.5C PMIC@100C AUX@39.5C CPU@41C thermal@40.85C Tboard@39C GPU 7876/7732 CPU 1234/1262 SOC 4320/4342 CV 0/0 VDDRQ 2315/2286 SYS5V 4607/4611
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [23%@1804,32%@1804,27%@1804,30%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@39.5C GPU@42C iwlwifi@40C Tdiode@42.5C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@39C GPU 7721/7732 CPU 1234/1261 SOC 4320/4342 CV 0/0 VDDRQ 2315/2287 SYS5V 4607/4611
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [26%@1804,22%@1804,33%@1804,24%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@39.5C GPU@42.5C iwlwifi@42C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@39C GPU 7876/7737 CPU 1234/1260 SOC 4320/4341 CV 0/0 VDDRQ 2314/2288 SYS5V 4607/4611
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [25%@1804,28%@1804,23%@1804,25%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@39.5C GPU@42.5C iwlwifi@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@41C Tboard@39C GPU 7872/7741 CPU 1234/1259 SOC 4474/4345 CV 0/0 VDDRQ 2314/2289 SYS5V 4647/4612
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [20%@1772,29%@1804,31%@1804,27%@1804,off,off,off,off] EMC_FREQ 43%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@39.5C GPU@42.5C iwlwifi@41C Tdiode@42.5C PMIC@100C AUX@39.5C CPU@41.5C thermal@41C Tboard@39C GPU 7872/7745 CPU 1234/1258 SOC 4474/4349 CV 0/0 VDDRQ 2315/2289 SYS5V 4607/4612
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [22%@1771,24%@1775,33%@1804,23%@1775,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@39.5C GPU@42.5C iwlwifi@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@41C Tboard@39C GPU 7721/7745 CPU 1234/1258 SOC 4320/4348 CV 0/0 VDDRQ 2315/2290 SYS5V 4607/4612
RAM 5285/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [26%@1773,21%@1804,23%@1804,40%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@39.5C GPU@42.5C iwlwifi@41C Tdiode@42.5C PMIC@100C AUX@39.5C CPU@41.5C thermal@41C Tboard@39C GPU 7876/7748 CPU 1234/1257 SOC 4474/4352 CV 0/0 VDDRQ 2315/2291 SYS5V 4607/4611
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [25%@1767,29%@1775,26%@1775,21%@1772,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 2% AO@39.5C GPU@43C iwlwifi@40C Tdiode@42.5C PMIC@100C AUX@39.5C CPU@41.5C thermal@41C Tboard@39C GPU 7876/7752 CPU 1234/1256 SOC 4474/4356 CV 0/0 VDDRQ 2314/2292 SYS5V 4607/4611
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [28%@1768,21%@1804,20%@1804,33%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@39.5C GPU@42.5C iwlwifi@41C Tdiode@42.5C PMIC@100C AUX@39.5C CPU@41.5C thermal@41C Tboard@39C GPU 7872/7756 CPU 1234/1256 SOC 4472/4359 CV 0/0 VDDRQ 2314/2292 SYS5V 4607/4611
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [24%@1780,20%@1804,32%@1804,29%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 3% AO@39.5C GPU@43C iwlwifi@41C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@41.2C Tboard@39C GPU 7876/7759 CPU 1234/1255 SOC 4474/4362 CV 0/0 VDDRQ 2314/2293 SYS5V 4607/4611
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [24%@1804,27%@1804,27%@1804,28%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 96%@905 APE 150 MTS fg 0% bg 3% AO@39.5C GPU@42.5C iwlwifi@40C Tdiode@42.75C PMIC@100C AUX@39.5C CPU@41.5C thermal@41.15C Tboard@39C GPU 7876/7762 CPU 1234/1254 SOC 4320/4361 CV 0/0 VDDRQ 2315/2293 SYS5V 4607/4611
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [30%@1804,29%@1804,28%@1804,20%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 60%@905 APE 150 MTS fg 0% bg 3% AO@39.5C GPU@42.5C iwlwifi@41C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@41.15C Tboard@39C GPU 7721/7761 CPU 1234/1254 SOC 4474/4364 CV 0/0 VDDRQ 2315/2294 SYS5V 4607/4611
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [24%@1804,27%@1804,25%@1804,29%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 98%@905 APE 150 MTS fg 0% bg 3% AO@40C GPU@42.5C iwlwifi@40C Tdiode@42.75C PMIC@100C AUX@40C CPU@41.5C thermal@41.35C Tboard@39C GPU 7721/7760 CPU 1234/1253 SOC 4474/4367 CV 0/0 VDDRQ 2315/2294 SYS5V 4607/4611
