RAM 5582/31919MB (lfb 3917x4MB) SWAP 0/15959MB (cached 0MB) CPU [25%@1190,33%@1190,25%@1190,25%@1190,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@37C GPU@40.5C iwlwifi@44C Tdiode@43.25C PMIC@100C AUX@37C CPU@39C thermal@38.8C Tboard@39C GPU 7391/7448 CPU 1077/1195 SOC 4307/4353 CV 0/0 VDDRQ 2308/2307 SYS5V 4662/4680
RAM 5581/31919MB (lfb 3917x4MB) SWAP 0/15959MB (cached 0MB) CPU [36%@1804,27%@1804,28%@1804,26%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 2% AO@37C GPU@40.5C iwlwifi@43C Tdiode@43.25C PMIC@100C AUX@37C CPU@39.5C thermal@38.8C Tboard@39C GPU 7388/7443 CPU 1231/1198 SOC 4461/4361 CV 0/0 VDDRQ 2308/2307 SYS5V 4702/4682
RAM 5582/31919MB (lfb 3917x4MB) SWAP 0/15959MB (cached 0MB) CPU [33%@1669,27%@1803,23%@1803,24%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@37.5C GPU@40.5C iwlwifi@47C Tdiode@43.25C PMIC@100C AUX@37.5C CPU@39.5C thermal@39.15C Tboard@39C GPU 7388/7440 CPU 1231/1200 SOC 4459/4367 CV 0/0 VDDRQ 2307/2307 SYS5V 4702/4683
RAM 5594/31919MB (lfb 3916x4MB) SWAP 0/15959MB (cached 0MB) CPU [25%@1803,27%@1803,23%@1803,34%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@37.5C GPU@40.5C iwlwifi@44C Tdiode@43.5C PMIC@100C AUX@37.5C CPU@39.5C thermal@39C Tboard@39C GPU 7388/7436 CPU 1231/1202 SOC 4307/4364 CV 0/0 VDDRQ 2307/2307 SYS5V 4702/4684
RAM 5593/31919MB (lfb 3916x4MB) SWAP 0/15959MB (cached 0MB) CPU [30%@1803,22%@1804,31%@1803,31%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@37.5C GPU@40.5C iwlwifi@43C Tdiode@43.5C PMIC@100C AUX@37C CPU@39.5C thermal@39.15C Tboard@39C GPU 7388/7434 CPU 1231/1203 SOC 4459/4369 CV 0/0 VDDRQ 2307/2307 SYS5V 4702/4685
RAM 5581/31919MB (lfb 3917x4MB) SWAP 0/15959MB (cached 0MB) CPU [23%@1803,27%@1804,24%@1804,30%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 89%@905 APE 150 MTS fg 0% bg 3% AO@37.5C GPU@41C iwlwifi@45C Tdiode@43.5C PMIC@100C AUX@37.5C CPU@40C thermal@39.15C Tboard@39C GPU 7388/7431 CPU 1231/1205 SOC 4307/4366 CV 0/0 VDDRQ 2307/2307 SYS5V 4702/4686
RAM 5593/31919MB (lfb 3916x4MB) SWAP 0/15959MB (cached 0MB) CPU [27%@1804,31%@1804,24%@1804,27%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 50%@905 APE 150 MTS fg 0% bg 4% AO@37.5C GPU@41C iwlwifi@44C Tdiode@43.75C PMIC@100C AUX@37.5C CPU@39.5C thermal@39.15C Tboard@39C GPU 7542/7437 CPU 1231/1206 SOC 4459/4371 CV 0/0 VDDRQ 2307/2307 SYS5V 4702/4687
RAM 5584/31919MB (lfb 3916x4MB) SWAP 0/15959MB (cached 0MB) CPU [26%@1803,27%@1803,24%@1803,32%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 4% AO@37.5C GPU@41C iwlwifi@45C Tdiode@43.5C PMIC@100C AUX@37.5C CPU@39.5C thermal@39.15C Tboard@39C GPU 7542/7442 CPU 1231/1207 SOC 4306/4367 CV 0/0 VDDRQ 2307/2307 SYS5V 4662/4686
RAM 5596/31919MB (lfb 3915x4MB) SWAP 0/15959MB (cached 0MB) CPU [30%@1803,25%@1803,31%@1803,26%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@37.5C GPU@41C iwlwifi@44C Tdiode@43.75C PMIC@100C AUX@38C CPU@39.5C thermal@39.15C Tboard@39C GPU 7388/7439 CPU 1231/1209 SOC 4461/4372 CV 0/0 VDDRQ 2307/2307 SYS5V 4702/4686
RAM 5590/31919MB (lfb 3915x4MB) SWAP 0/15959MB (cached 0MB) CPU [28%@1803,32%@1804,25%@1804,24%@1804,off,off,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 46%@905 APE 150 MTS fg 0% bg 3% AO@37.5C GPU@41C iwlwifi@44C Tdiode@43.5C PMIC@100C AUX@37.5C CPU@40C thermal@39.15C Tboard@39C GPU 7388/7437 CPU 1231/1210 SOC 4461/4376 CV 0/0 VDDRQ 2308/2307 SYS5V 4702/4687
RAM 5584/31919MB (lfb 3915x4MB) SWAP 0/15959MB (cached 0MB) CPU [29%@1190,28%@1190,21%@1190,30%@1190,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 3% AO@37.5C GPU@41C iwlwifi@46C Tdiode@43.75C PMIC@100C AUX@38C CPU@39.5C thermal@39.35C Tboard@39C GPU 7696/7448 CPU 1077/1204 SOC 4307/4373 CV 0/0 VDDRQ 2308/2307 SYS5V 4662/4686
