RAM 10006/31760MB (lfb 3742x4MB) SWAP 62/15880MB (cached 1MB) CPU [18%@2265,25%@2265,15%@2265,20%@2265,27%@2264,24%@2265,22%@2265,25%@2264] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 16% AO@39.5C GPU@45C iwlwifi@37C Tdiode@42.25C PMIC@100C AUX@38.5C CPU@41.5C thermal@41.5C Tboard@37C GPU 18094/17712 CPU 3372/3309 SOC 4902/4852 CV 0/0 VDDRQ 2912/2771 SYS5V 4967/4920
RAM 10006/31760MB (lfb 3742x4MB) SWAP 62/15880MB (cached 1MB) CPU [19%@2258,21%@2265,20%@2265,20%@2265,25%@2265,27%@2265,13%@2265,25%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 10% AO@39.5C GPU@46C iwlwifi@37C Tdiode@42.5C PMIC@100C AUX@38.5C CPU@41.5C thermal@41.35C Tboard@37C GPU 18700/17788 CPU 3372/3314 SOC 4900/4856 CV 0/0 VDDRQ 2911/2782 SYS5V 4967/4923
RAM 10007/31760MB (lfb 3742x4MB) SWAP 62/15880MB (cached 1MB) CPU [28%@2264,17%@2265,19%@2265,19%@2264,20%@2265,20%@2264,20%@2264,22%@2264] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 9% AO@39.5C GPU@45.5C iwlwifi@38C Tdiode@42.5C PMIC@100C AUX@38.5C CPU@41.5C thermal@41.85C Tboard@37C GPU 18094/17810 CPU 3066/3296 SOC 4902/4859 CV 0/0 VDDRQ 2759/2780 SYS5V 4927/4924
RAM 10008/31760MB (lfb 3742x4MB) SWAP 62/15880MB (cached 1MB) CPU [24%@2264,32%@2265,21%@2265,24%@2265,15%@2265,24%@2265,27%@2265,30%@2264] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 24% AO@40C GPU@46C iwlwifi@38C Tdiode@42.5C PMIC@100C AUX@39C CPU@42C thermal@41.85C Tboard@37C GPU 18393/17849 CPU 3525/3311 SOC 4902/4862 CV 0/0 VDDRQ 2759/2779 SYS5V 4927/4924
RAM 10007/31760MB (lfb 3742x4MB) SWAP 62/15880MB (cached 1MB) CPU [19%@2264,25%@2265,27%@2265,21%@2265,21%@2265,20%@2265,21%@2265,21%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 92%@1377 APE 150 MTS fg 0% bg 11% AO@40C GPU@46C iwlwifi@37C Tdiode@43C PMIC@100C AUX@39C CPU@42C thermal@42C Tboard@37C GPU 18240/17873 CPU 3372/3315 SOC 4902/4864 CV 0/0 VDDRQ 2912/2787 SYS5V 4967/4927
RAM 10008/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [22%@2265,23%@2265,26%@2265,22%@2265,20%@2265,26%@2265,22%@2265,21%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 10% AO@40C GPU@46C iwlwifi@37C Tdiode@42.75C PMIC@100C AUX@39C CPU@42.5C thermal@42C Tboard@37C GPU 17941/17877 CPU 3220/3309 SOC 4902/4866 CV 0/0 VDDRQ 2759/2786 SYS5V 4927/4927
RAM 10008/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [19%@2265,24%@2265,24%@2265,20%@2265,18%@2265,27%@2265,21%@2265,26%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 97%@1377 APE 150 MTS fg 0% bg 14% AO@40C GPU@46C iwlwifi@37C Tdiode@43C PMIC@100C AUX@39C CPU@42.5C thermal@42C Tboard@37C GPU 18240/17897 CPU 3372/3313 SOC 4902/4868 CV 0/0 VDDRQ 2912/2793 SYS5V 4967/4929
RAM 10008/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [23%@2265,25%@2265,17%@2265,18%@2265,23%@2265,17%@2265,19%@2265,25%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 7% AO@40C GPU@46C iwlwifi@39C Tdiode@43C PMIC@100C AUX@39.5C CPU@42.5C thermal@42.2C Tboard@37C GPU 18247/17916 CPU 3220/3308 SOC 4902/4870 CV 0/0 VDDRQ 2912/2799 SYS5V 4927/4929
RAM 10007/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [25%@2264,23%@2265,15%@2265,30%@2264,26%@2264,23%@2264,25%@2265,21%@2264] EMC_FREQ 56%@2133 GR3D_FREQ 53%@1377 APE 150 MTS fg 0% bg 13% AO@40C GPU@46C iwlwifi@37C Tdiode@43.25C PMIC@100C AUX@39.5C CPU@42.5C thermal@42.35C Tboard@38C GPU 17941/17917 CPU 3372/3311 SOC 4902/4872 CV 0/0 VDDRQ 2759/2797 SYS5V 4927/4929
RAM 10006/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [20%@2203,25%@2265,21%@2265,18%@2265,16%@2265,25%@2264,19%@2265,33%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 9% AO@40.5C GPU@46.5C iwlwifi@38C Tdiode@43.5C PMIC@100C AUX@39.5C CPU@42.5C thermal@42.35C Tboard@38C GPU 18247/17933 CPU 3372/3314 SOC 4902/4873 CV 0/0 VDDRQ 2912/2802 SYS5V 4967/4930
RAM 10007/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [22%@2265,40%@2265,21%@2265,24%@2265,16%@2265,24%@2265,29%@2265,24%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 16% AO@40.5C GPU@46C iwlwifi@37C Tdiode@43.5C PMIC@100C AUX@39.5C CPU@43C thermal@42.35C Tboard@38C GPU 17941/17933 CPU 3065/3303 SOC 4904/4875 CV 0/0 VDDRQ 2759/2800 SYS5V 4927/4930
RAM 10006/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [19%@2265,30%@2265,19%@2265,28%@2265,20%@2265,37%@2265,21%@2265,15%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 9% AO@40.5C GPU@46.5C iwlwifi@37C Tdiode@43.5C PMIC@100C AUX@39.5C CPU@43C thermal@42.5C Tboard@38C GPU 18546/17960 CPU 3525/3312 SOC 4902/4876 CV 0/0 VDDRQ 2911/2805 SYS5V 4967/4932
RAM 10008/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [18%@2265,19%@2265,34%@2265,19%@2265,24%@2265,17%@2265,22%@2265,22%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 11% AO@40.5C GPU@46.5C iwlwifi@37C Tdiode@43.5C PMIC@100C AUX@40C CPU@43.5C thermal@42.8C Tboard@38C GPU 17941/17959 CPU 3066/3302 SOC 4904/4877 CV 0/0 VDDRQ 2760/2803 SYS5V 4927/4932
RAM 10007/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [21%@2265,23%@2265,16%@2265,22%@2265,26%@2265,21%@2265,27%@2265,21%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 14% AO@41C GPU@47C iwlwifi@37C Tdiode@43.75C PMIC@100C AUX@40C CPU@43C thermal@42.85C Tboard@38C GPU 18546/17982 CPU 3372/3305 SOC 4902/4878 CV 0/0 VDDRQ 2911/2807 SYS5V 4927/4931
RAM 10006/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [19%@2265,14%@2265,19%@2265,19%@2265,18%@2265,18%@2265,21%@2265,23%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 7% AO@40.5C GPU@46.5C iwlwifi@37C Tdiode@43.75C PMIC@100C AUX@40C CPU@43C thermal@42.85C Tboard@38C GPU 18094/17987 CPU 3066/3296 SOC 4902/4879 CV 0/0 VDDRQ 2912/2811 SYS5V 4967/4933
RAM 10008/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [32%@2265,23%@2265,32%@2265,25%@2265,16%@2265,21%@2265,23%@2265,17%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 13% AO@41C GPU@47C iwlwifi@37C Tdiode@43.75C PMIC@100C AUX@40C CPU@43C thermal@43.2C Tboard@38C GPU 18546/18007 CPU 3066/3287 SOC 4902/4880 CV 0/0 VDDRQ 2759/2810 SYS5V 4927/4932
RAM 10007/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [20%@2265,21%@2265,18%@2265,25%@2265,17%@2265,21%@2264,21%@2265,18%@2264] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 9% AO@41C GPU@47C iwlwifi@37C Tdiode@44C PMIC@100C AUX@40C CPU@43C thermal@43.15C Tboard@38C GPU 18240/18016 CPU 3525/3296 SOC 4902/4880 CV 0/0 VDDRQ 2912/2813 SYS5V 4967/4934
RAM 10008/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [18%@2260,17%@2211,23%@2265,24%@2265,24%@2265,26%@2265,20%@2265,24%@2265] EMC_FREQ 55%@2133 GR3D_FREQ 97%@1377 APE 150 MTS fg 0% bg 18% AO@41C GPU@47C iwlwifi@37C Tdiode@43.75C PMIC@100C AUX@40.5C CPU@43.5C thermal@43.2C Tboard@38C GPU 18401/18029 CPU 2760/3277 SOC 4904/4881 CV 0/0 VDDRQ 2759/2811 SYS5V 4927/4933
RAM 10007/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [25%@2265,23%@2264,18%@2265,19%@2265,21%@2265,22%@2265,23%@2265,12%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 11% AO@41C GPU@47C iwlwifi@37C Tdiode@44C PMIC@100C AUX@40.5C CPU@43C thermal@43.2C Tboard@38C GPU 17933/18026 CPU 3372/3280 SOC 4902/4882 CV 0/0 VDDRQ 2912/2815 SYS5V 4927/4933
RAM 10009/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [19%@2265,20%@2265,27%@2265,21%@2265,25%@2265,22%@2265,25%@2265,21%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 87%@1377 APE 150 MTS fg 0% bg 13% AO@41.5C GPU@47C iwlwifi@37C Tdiode@44.25C PMIC@100C AUX@40.5C CPU@43.5C thermal@43.15C Tboard@38C GPU 18247/18033 CPU 3066/3273 SOC 4902/4882 CV 0/0 VDDRQ 2759/2813 SYS5V 4927/4933
RAM 10008/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [25%@2264,32%@2265,24%@2264,23%@2265,18%@2265,23%@2265,19%@2265,20%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 15% AO@41C GPU@47C iwlwifi@37C Tdiode@44.25C PMIC@100C AUX@40.5C CPU@43C thermal@43.5C Tboard@38C GPU 18087/18034 CPU 3678/3286 SOC 4902/4883 CV 0/0 VDDRQ 2759/2811 SYS5V 4927/4933
