RAM 5526/31919MB (lfb 3936x4MB) SWAP 0/15959MB (cached 0MB) CPU [25%@1420,24%@1420,17%@1420,20%@1420,21%@1420,17%@1420,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@37.5C GPU@41C iwlwifi@46C Tdiode@43.5C PMIC@100C AUX@37.5C CPU@39.5C thermal@39.15C Tboard@39C GPU 7391/7391 CPU 1077/1029 SOC 4307/4330 CV 0/0 VDDRQ 2308/2284 SYS5V 4662/4665
RAM 5544/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [19%@1420,14%@1420,20%@1420,30%@1420,18%@1420,24%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 6% AO@37.5C GPU@41C iwlwifi@44C Tdiode@43.75C PMIC@100C AUX@37.5C CPU@40C thermal@39.3C Tboard@39C GPU 7545/7402 CPU 1077/1033 SOC 4461/4340 CV 0/0 VDDRQ 2308/2286 SYS5V 4702/4667
RAM 5533/31919MB (lfb 3935x4MB) SWAP 0/15959MB (cached 0MB) CPU [26%@1420,18%@1420,20%@1420,19%@1420,15%@1420,22%@1420,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@37.5C GPU@41C iwlwifi@44C Tdiode@43.75C PMIC@100C AUX@37.5C CPU@39.5C thermal@39.15C Tboard@39C GPU 7391/7401 CPU 1077/1035 SOC 4307/4337 CV 0/0 VDDRQ 2308/2287 SYS5V 4662/4667
RAM 5544/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [25%@1420,14%@1420,19%@1420,29%@1420,21%@1420,11%@1420,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 51%@905 APE 150 MTS fg 0% bg 5% AO@37.5C GPU@41C iwlwifi@44C Tdiode@43.75C PMIC@100C AUX@37.5C CPU@40C thermal@39.3C Tboard@39C GPU 7391/7400 CPU 1077/1038 SOC 4461/4345 CV 0/0 VDDRQ 2308/2288 SYS5V 4662/4667
RAM 5532/31919MB (lfb 3935x4MB) SWAP 0/15959MB (cached 0MB) CPU [25%@1190,13%@1190,25%@1200,25%@1373,20%@1267,15%@1267,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 5% AO@37.5C GPU@41C iwlwifi@44C Tdiode@43.75C PMIC@100C AUX@38C CPU@40C thermal@39.35C Tboard@39C GPU 7391/7400 CPU 923/1031 SOC 4307/4343 CV 0/0 VDDRQ 2154/2280 SYS5V 4662/4666
RAM 5544/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [27%@1420,19%@1420,14%@1420,16%@1420,29%@1420,19%@1420,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@37.5C GPU@41.5C iwlwifi@44C Tdiode@43.75C PMIC@100C AUX@38C CPU@40C thermal@39.5C Tboard@39C GPU 7545/7408 CPU 1077/1034 SOC 4307/4341 CV 0/0 VDDRQ 2308/2282 SYS5V 4662/4666
RAM 5532/31919MB (lfb 3935x4MB) SWAP 0/15959MB (cached 0MB) CPU [21%@1190,20%@1190,19%@1190,21%@1190,23%@1190,20%@1190,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.5C Tboard@39C GPU 7696/7423 CPU 923/1028 SOC 4461/4347 CV 0/0 VDDRQ 2308/2283 SYS5V 4702/4668
RAM 5544/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [16%@1420,14%@1420,29%@1420,14%@1420,18%@1420,29%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7542/7429 CPU 1077/1030 SOC 4461/4353 CV 0/0 VDDRQ 2308/2284 SYS5V 4662/4668
RAM 5544/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [23%@1190,20%@1190,26%@1190,17%@1190,22%@1190,23%@1190,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7542/7434 CPU 1077/1033 SOC 4461/4358 CV 0/0 VDDRQ 2308/2286 SYS5V 4702/4669
RAM 5533/31919MB (lfb 3935x4MB) SWAP 0/15959MB (cached 0MB) CPU [17%@1190,16%@1190,20%@1190,29%@1190,24%@1190,16%@1190,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 6% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7545/7439 CPU 923/1028 SOC 4461/4363 CV 0/0 VDDRQ 2307/2286 SYS5V 4702/4671
