node name | requested bytes | total execution time | accelerator execution time | cpu execution time
Conv2D                      1015.29MB (100.00%, 61.17%),     215.96ms (100.00%, 74.32%),     170.59ms (100.00%, 82.80%),      45.37ms (100.00%, 53.65%)
import/pred_sbbox/concat_2/_36             0B (0.00%, 0.00%),           218us (7.18%, 0.08%),           218us (3.89%, 0.11%),            0us (15.20%, 0.00%)
import/darknet/conv4/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           203us (7.11%, 0.07%),           103us (3.78%, 0.05%),          100us (15.20%, 0.12%)
import/darknet/conv9/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer        5.75MB (13.07%, 0.35%),           196us (7.04%, 0.07%),           114us (3.73%, 0.06%),           82us (15.08%, 0.10%)
edge_1168_import/pred_sbbox/strided_slice_10@@MemcpyHtoD             0B (0.00%, 0.00%),           195us (6.97%, 0.07%),           195us (3.68%, 0.09%),            0us (14.98%, 0.00%)
import/darknet/residual0/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           182us (6.90%, 0.06%),           104us (3.58%, 0.05%),           78us (14.98%, 0.09%)
import/darknet/residual2/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           180us (6.84%, 0.06%),            98us (3.53%, 0.05%),           82us (14.89%, 0.10%)
Exp                                   0B (0.00%, 0.00%),           179us (6.78%, 0.06%),            22us (3.49%, 0.01%),          157us (14.79%, 0.19%)
import/darknet/residual3/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           176us (6.72%, 0.06%),            31us (3.48%, 0.02%),          145us (14.61%, 0.17%)
import/darknet/residual10/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           173us (6.65%, 0.06%),            56us (3.46%, 0.03%),          117us (14.44%, 0.14%)
import/darknet/residual0/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer        5.54MB (12.73%, 0.33%),           168us (6.59%, 0.06%),           115us (3.43%, 0.06%),           53us (14.30%, 0.06%)
import/conv_sobj_branch/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           163us (6.54%, 0.06%),            55us (3.38%, 0.03%),          108us (14.24%, 0.13%)
import/darknet/residual1/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer        5.54MB (12.39%, 0.33%),           162us (6.48%, 0.06%),           104us (3.35%, 0.05%),           58us (14.11%, 0.07%)
import/darknet/residual1/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           156us (6.43%, 0.05%),           100us (3.30%, 0.05%),           56us (14.04%, 0.07%)
import/darknet/conv4/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer        5.54MB (12.06%, 0.33%),           153us (6.37%, 0.05%),           105us (3.25%, 0.05%),           48us (13.97%, 0.06%)
import/conv64/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer        4.15MB (11.73%, 0.25%),           152us (6.32%, 0.05%),            88us (3.20%, 0.04%),           64us (13.92%, 0.08%)
import/darknet/residual2/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer        5.54MB (11.48%, 0.33%),           150us (6.27%, 0.05%),           102us (3.16%, 0.05%),           48us (13.84%, 0.06%)
import/darknet/residual6/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer        2.77MB (11.14%, 0.17%),           149us (6.22%, 0.05%),            58us (3.11%, 0.03%),           91us (13.78%, 0.11%)
import/darknet/residual13/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           148us (6.16%, 0.05%),            22us (3.08%, 0.01%),          126us (13.68%, 0.15%)
import/darknet/residual0/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer        5.54MB (10.98%, 0.33%),           148us (6.11%, 0.05%),           101us (3.07%, 0.05%),           47us (13.53%, 0.06%)
