node name | requested bytes | total execution time | accelerator execution time | cpu execution time
Conv2D                      1015.29MB (100.00%, 61.17%),     215.96ms (100.00%, 74.32%),     170.59ms (100.00%, 82.80%),      45.37ms (100.00%, 53.65%)
import/darknet/residual4/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (4.24%, 0.00%),            85us (3.19%, 0.03%),             0us (1.29%, 0.00%),            85us (7.80%, 0.10%)
import/conv64/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            85us (3.16%, 0.03%),            32us (1.29%, 0.02%),            53us (7.70%, 0.06%)
import/darknet/residual12/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (4.24%, 0.08%),            84us (3.13%, 0.03%),            34us (1.28%, 0.02%),            50us (7.64%, 0.06%)
import/conv_mobj_branch/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            84us (3.10%, 0.03%),            31us (1.26%, 0.02%),            53us (7.58%, 0.06%)
import/conv68/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            84us (3.07%, 0.03%),            29us (1.24%, 0.01%),            55us (7.52%, 0.07%)
import/conv67/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (4.15%, 0.08%),            84us (3.04%, 0.03%),            32us (1.23%, 0.02%),            52us (7.45%, 0.06%)
import/darknet/residual10/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (4.07%, 0.08%),            83us (3.01%, 0.03%),            32us (1.21%, 0.02%),            51us (7.39%, 0.06%)
import/darknet/residual7/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (3.99%, 0.08%),            83us (2.98%, 0.03%),            29us (1.20%, 0.01%),            54us (7.33%, 0.06%)
import/conv68/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (3.90%, 0.08%),            82us (2.95%, 0.03%),            33us (1.18%, 0.02%),            49us (7.27%, 0.06%)
import/darknet/residual9/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            82us (2.93%, 0.03%),            31us (1.17%, 0.02%),            51us (7.21%, 0.06%)
import/darknet/residual18/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (3.82%, 0.08%),            82us (2.90%, 0.03%),            32us (1.15%, 0.02%),            50us (7.15%, 0.06%)
import/darknet/residual11/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (3.73%, 0.08%),            81us (2.87%, 0.03%),            33us (1.14%, 0.02%),            48us (7.09%, 0.06%)
import/conv60/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (3.65%, 0.08%),            81us (2.84%, 0.03%),            34us (1.12%, 0.02%),            47us (7.03%, 0.06%)
import/darknet/residual6/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            81us (2.81%, 0.03%),            30us (1.11%, 0.01%),            51us (6.98%, 0.06%)
import/conv_mobj_branch/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (3.57%, 0.08%),            81us (2.79%, 0.03%),            33us (1.09%, 0.02%),            48us (6.92%, 0.06%)
import/conv53/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (3.48%, 0.04%),            80us (2.76%, 0.03%),            21us (1.07%, 0.01%),            59us (6.86%, 0.07%)
import/darknet/residual3/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (3.44%, 0.08%),            78us (2.73%, 0.03%),            30us (1.06%, 0.01%),            48us (6.79%, 0.06%)
import/darknet/conv43/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            78us (2.70%, 0.03%),            23us (1.05%, 0.01%),            55us (6.73%, 0.07%)
import/darknet/residual18/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            78us (2.68%, 0.03%),            22us (1.04%, 0.01%),            56us (6.67%, 0.07%)
import/conv59/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (3.36%, 0.08%),            77us (2.65%, 0.03%),            36us (1.03%, 0.02%),            41us (6.60%, 0.05%)
import/conv55/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            77us (2.62%, 0.03%),            20us (1.01%, 0.01%),            57us (6.55%, 0.07%)
import/darknet/residual15/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (3.28%, 0.04%),            77us (2.60%, 0.03%),            18us (1.00%, 0.01%),            59us (6.49%, 0.07%)
import/darknet/residual16/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            77us (2.57%, 0.03%),            21us (0.99%, 0.01%),            56us (6.42%, 0.07%)
import/darknet/residual13/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (3.23%, 0.08%),            77us (2.54%, 0.03%),            36us (0.98%, 0.02%),            41us (6.35%, 0.05%)
import/conv65/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (3.15%, 0.08%),            77us (2.52%, 0.03%),            31us (0.96%, 0.02%),            46us (6.30%, 0.05%)
import/conv64/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (3.07%, 0.08%),            77us (2.49%, 0.03%),            29us (0.95%, 0.01%),            48us (6.25%, 0.06%)
import/darknet/residual20/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            77us (2.46%, 0.03%),            20us (0.94%, 0.01%),            57us (6.19%, 0.07%)
import/darknet/residual20/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            77us (2.44%, 0.03%),            13us (0.93%, 0.01%),            64us (6.12%, 0.08%)
import/conv62/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.08MB (2.98%, 0.13%),            77us (2.41%, 0.03%),            36us (0.92%, 0.02%),            41us (6.05%, 0.05%)
import/conv54/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            76us (2.39%, 0.03%),            11us (0.90%, 0.01%),            65us (6.00%, 0.08%)
import/darknet/residual14/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (2.86%, 0.08%),            76us (2.36%, 0.03%),            35us (0.90%, 0.02%),            41us (5.92%, 0.05%)
import/darknet/residual12/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (2.78%, 0.04%),            76us (2.33%, 0.03%),            18us (0.88%, 0.01%),            58us (5.87%, 0.07%)
import/darknet/residual11/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            76us (2.31%, 0.03%),            33us (0.87%, 0.02%),            43us (5.81%, 0.05%)
import/darknet/residual17/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            75us (2.28%, 0.03%),            32us (0.85%, 0.02%),            43us (5.75%, 0.05%)
import/conv56/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (2.73%, 0.04%),            75us (2.25%, 0.03%),            22us (0.84%, 0.01%),            53us (5.70%, 0.06%)
import/darknet/residual16/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (2.69%, 0.08%),            75us (2.23%, 0.03%),            34us (0.83%, 0.02%),            41us (5.64%, 0.05%)
import/darknet/residual4/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            75us (2.20%, 0.03%),            28us (0.81%, 0.01%),            47us (5.59%, 0.06%)
import/darknet/conv26/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            75us (2.18%, 0.03%),            31us (0.80%, 0.02%),            44us (5.54%, 0.05%)
import/darknet/residual15/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            75us (2.15%, 0.03%),            33us (0.78%, 0.02%),            42us (5.48%, 0.05%)
import/conv_sobj_branch/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (2.61%, 0.08%),            75us (2.13%, 0.03%),            31us (0.77%, 0.02%),            44us (5.43%, 0.05%)
import/darknet/residual18/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            74us (2.10%, 0.03%),            33us (0.75%, 0.02%),            41us (5.38%, 0.05%)
import/conv52/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (2.53%, 0.04%),            73us (2.07%, 0.03%),            22us (0.74%, 0.01%),            51us (5.33%, 0.06%)
import/darknet/residual8/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            73us (2.05%, 0.03%),            29us (0.73%, 0.01%),            44us (5.27%, 0.05%)
import/conv_mbbox/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.08MB (2.48%, 0.13%),            73us (2.02%, 0.03%),            33us (0.71%, 0.02%),            40us (5.22%, 0.05%)
import/conv_lbbox/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.21MB (2.36%, 0.07%),            73us (2.00%, 0.03%),            22us (0.70%, 0.01%),            51us (5.17%, 0.06%)
import/darknet/residual7/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (2.29%, 0.08%),            73us (1.97%, 0.03%),            29us (0.68%, 0.01%),            44us (5.11%, 0.05%)
import/darknet/residual21/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (2.20%, 0.04%),            72us (1.95%, 0.02%),            22us (0.67%, 0.01%),            50us (5.06%, 0.06%)
import/darknet/residual11/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (2.16%, 0.08%),            72us (1.92%, 0.02%),            33us (0.66%, 0.02%),            39us (5.00%, 0.05%)
import/darknet/residual16/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (2.08%, 0.08%),            72us (1.90%, 0.02%),            32us (0.64%, 0.02%),            40us (4.96%, 0.05%)
import/darknet/residual6/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (1.99%, 0.08%),            72us (1.87%, 0.02%),            31us (0.63%, 0.02%),            41us (4.91%, 0.05%)
import/darknet/residual17/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (1.91%, 0.08%),            72us (1.85%, 0.02%),            33us (0.61%, 0.02%),            39us (4.86%, 0.05%)
import/darknet/residual8/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (1.83%, 0.08%),            72us (1.82%, 0.02%),            31us (0.60%, 0.02%),            41us (4.82%, 0.05%)
import/darknet/residual22/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (1.74%, 0.04%),            71us (1.80%, 0.02%),            19us (0.58%, 0.01%),            52us (4.77%, 0.06%)
import/conv53/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            71us (1.78%, 0.02%),            22us (0.57%, 0.01%),            49us (4.71%, 0.06%)
import/conv59/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (1.70%, 0.04%),            70us (1.75%, 0.02%),            20us (0.56%, 0.01%),            50us (4.65%, 0.06%)
import/darknet/residual14/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (1.66%, 0.04%),            70us (1.73%, 0.02%),            18us (0.55%, 0.01%),            52us (4.59%, 0.06%)
import/conv55/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       346.11KB (1.62%, 0.02%),            70us (1.70%, 0.02%),            13us (0.54%, 0.01%),            57us (4.53%, 0.07%)
import/darknet/residual19/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (1.60%, 0.04%),            70us (1.68%, 0.02%),            20us (0.54%, 0.01%),            50us (4.46%, 0.06%)
import/conv61/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            69us (1.65%, 0.02%),            28us (0.53%, 0.01%),            41us (4.40%, 0.05%)
import/darknet/residual22/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (1.56%, 0.04%),            69us (1.63%, 0.02%),            22us (0.51%, 0.01%),            47us (4.35%, 0.06%)
import/darknet/residual21/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       346.11KB (1.51%, 0.02%),            69us (1.61%, 0.02%),            11us (0.50%, 0.01%),            58us (4.30%, 0.07%)
import/darknet/residual17/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (1.49%, 0.04%),            69us (1.58%, 0.02%),            17us (0.50%, 0.01%),            52us (4.23%, 0.06%)
import/darknet/residual4/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (1.45%, 0.08%),            68us (1.56%, 0.02%),            30us (0.49%, 0.01%),            38us (4.17%, 0.04%)
import/darknet/residual9/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (1.37%, 0.08%),            67us (1.54%, 0.02%),            29us (0.48%, 0.01%),            38us (4.12%, 0.04%)
import/darknet/residual16/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (1.28%, 0.04%),            67us (1.51%, 0.02%),            18us (0.46%, 0.01%),            49us (4.08%, 0.06%)
import/darknet/residual5/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (1.24%, 0.08%),            67us (1.49%, 0.02%),            29us (0.45%, 0.01%),            38us (4.02%, 0.04%)
import/darknet/residual22/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            67us (1.47%, 0.02%),            10us (0.44%, 0.00%),            57us (3.97%, 0.07%)
import/darknet/residual18/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (1.16%, 0.04%),            67us (1.44%, 0.02%),            20us (0.43%, 0.01%),            47us (3.91%, 0.06%)
import/conv52/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            66us (1.42%, 0.02%),            10us (0.42%, 0.00%),            56us (3.85%, 0.07%)
import/darknet/residual16/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (1.12%, 0.04%),            65us (1.40%, 0.02%),            20us (0.42%, 0.01%),            45us (3.78%, 0.05%)
import/conv60/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (1.08%, 0.04%),            65us (1.38%, 0.02%),            18us (0.41%, 0.01%),            47us (3.73%, 0.06%)
import/conv58/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (1.03%, 0.04%),            64us (1.35%, 0.02%),            18us (0.40%, 0.01%),            46us (3.68%, 0.05%)
import/conv_lobj_branch/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            64us (1.33%, 0.02%),            20us (0.39%, 0.01%),            44us (3.62%, 0.05%)
import/conv_lobj_branch/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (0.99%, 0.04%),            64us (1.31%, 0.02%),            20us (0.38%, 0.01%),            44us (3.57%, 0.05%)
import/conv62/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (0.95%, 0.04%),            64us (1.29%, 0.02%),            19us (0.37%, 0.01%),            45us (3.52%, 0.05%)
import/darknet/residual13/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (0.91%, 0.04%),            64us (1.27%, 0.02%),            20us (0.36%, 0.01%),            44us (3.46%, 0.05%)
import/darknet/residual15/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            64us (1.24%, 0.02%),            18us (0.35%, 0.01%),            46us (3.41%, 0.05%)
import/darknet/residual20/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (0.87%, 0.04%),            63us (1.22%, 0.02%),            22us (0.35%, 0.01%),            41us (3.36%, 0.05%)
import/conv60/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            63us (1.20%, 0.02%),            19us (0.33%, 0.01%),            44us (3.31%, 0.05%)
import/conv55/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (0.83%, 0.04%),            63us (1.18%, 0.02%),            19us (0.33%, 0.01%),            44us (3.26%, 0.05%)
import/darknet/residual17/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            62us (1.16%, 0.02%),            18us (0.32%, 0.01%),            44us (3.20%, 0.05%)
import/darknet/residual21/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            62us (1.14%, 0.02%),            20us (0.31%, 0.01%),            42us (3.15%, 0.05%)
import/darknet/residual18/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (0.78%, 0.04%),            62us (1.11%, 0.02%),            20us (0.30%, 0.01%),            42us (3.10%, 0.05%)
import/darknet/residual12/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            62us (1.09%, 0.02%),            18us (0.29%, 0.01%),            44us (3.05%, 0.05%)
import/conv58/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            62us (1.07%, 0.02%),            21us (0.28%, 0.01%),            41us (3.00%, 0.05%)
import/darknet/residual21/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (0.74%, 0.04%),            62us (1.05%, 0.02%),            23us (0.27%, 0.01%),            39us (2.95%, 0.05%)
import/darknet/residual19/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            62us (1.03%, 0.02%),            19us (0.26%, 0.01%),            43us (2.91%, 0.05%)
import/darknet/residual20/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       346.11KB (0.70%, 0.02%),            62us (1.01%, 0.02%),            15us (0.25%, 0.01%),            47us (2.86%, 0.06%)
import/conv57/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       173.06KB (0.68%, 0.01%),            62us (0.99%, 0.02%),             9us (0.24%, 0.00%),            53us (2.80%, 0.06%)
import/darknet/residual20/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       346.11KB (0.67%, 0.02%),            61us (0.96%, 0.02%),            11us (0.24%, 0.01%),            50us (2.74%, 0.06%)
import/conv54/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (0.65%, 0.04%),            61us (0.94%, 0.02%),            21us (0.23%, 0.01%),            40us (2.68%, 0.05%)
import/darknet/residual14/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (0.61%, 0.04%),            60us (0.92%, 0.02%),            20us (0.22%, 0.01%),            40us (2.63%, 0.05%)
import/darknet/residual19/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            60us (0.90%, 0.02%),            12us (0.21%, 0.01%),            48us (2.58%, 0.06%)
import/darknet/conv43/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (0.57%, 0.04%),            60us (0.88%, 0.02%),            20us (0.21%, 0.01%),            40us (2.53%, 0.05%)
import/darknet/residual12/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (0.52%, 0.04%),            59us (0.86%, 0.02%),            19us (0.20%, 0.01%),            40us (2.48%, 0.05%)
import/darknet/residual11/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (0.48%, 0.04%),            59us (0.84%, 0.02%),            20us (0.19%, 0.01%),            39us (2.43%, 0.05%)
import/darknet/residual20/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (0.44%, 0.04%),            59us (0.82%, 0.02%),            18us (0.18%, 0.01%),            41us (2.39%, 0.05%)
import/darknet/residual13/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (0.40%, 0.04%),            59us (0.80%, 0.02%),            20us (0.17%, 0.01%),            39us (2.34%, 0.05%)
import/conv_mobj_branch/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (0.36%, 0.04%),            59us (0.78%, 0.02%),            18us (0.16%, 0.01%),            41us (2.29%, 0.05%)
import/darknet/residual19/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       346.11KB (0.31%, 0.02%),            59us (0.76%, 0.02%),            13us (0.15%, 0.01%),            46us (2.24%, 0.05%)
import/conv63/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            58us (0.74%, 0.02%),            11us (0.14%, 0.01%),            47us (2.19%, 0.06%)
import/darknet/residual15/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (0.29%, 0.04%),            58us (0.72%, 0.02%),            19us (0.14%, 0.01%),            39us (2.13%, 0.05%)
import/darknet/residual17/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (0.25%, 0.04%),            57us (0.70%, 0.02%),            18us (0.13%, 0.01%),            39us (2.09%, 0.05%)
import/conv54/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       346.11KB (0.21%, 0.02%),            56us (0.68%, 0.02%),            12us (0.12%, 0.01%),            44us (2.04%, 0.05%)
import/darknet/residual22/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       346.11KB (0.19%, 0.02%),            56us (0.66%, 0.02%),            13us (0.11%, 0.01%),            43us (1.99%, 0.05%)
import/darknet/residual22/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       346.11KB (0.17%, 0.02%),            56us (0.64%, 0.02%),            11us (0.11%, 0.01%),            45us (1.94%, 0.05%)
import/conv_lobj_branch/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       346.11KB (0.15%, 0.02%),            55us (0.62%, 0.02%),            14us (0.10%, 0.01%),            41us (1.88%, 0.05%)
import/conv63/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       346.11KB (0.13%, 0.02%),            55us (0.60%, 0.02%),            12us (0.10%, 0.01%),            43us (1.84%, 0.05%)
import/conv52/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       346.11KB (0.11%, 0.02%),            54us (0.58%, 0.02%),            11us (0.09%, 0.01%),            43us (1.79%, 0.05%)
import/darknet/residual21/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            54us (0.57%, 0.02%),            10us (0.08%, 0.00%),            44us (1.73%, 0.05%)
import/conv53/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       346.11KB (0.09%, 0.02%),            53us (0.55%, 0.02%),            14us (0.08%, 0.01%),            39us (1.68%, 0.05%)
import/conv_lbbox/BiasAdd-0-0-TransposeNCHWToNHWC-LayoutOptimizer       172.54KB (0.06%, 0.01%),            51us (0.53%, 0.02%),             9us (0.07%, 0.00%),            42us (1.64%, 0.05%)
import/darknet/residual19/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       346.11KB (0.05%, 0.02%),            51us (0.51%, 0.02%),            13us (0.07%, 0.01%),            38us (1.59%, 0.04%)
import/conv57/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            50us (0.49%, 0.02%),             9us (0.06%, 0.00%),            41us (1.54%, 0.05%)
import/darknet/residual21/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       346.11KB (0.03%, 0.02%),            50us (0.48%, 0.02%),            11us (0.06%, 0.01%),            39us (1.49%, 0.05%)
edge_822_import/pred_lbbox/strided_slice_10@@MemcpyHtoD             0B (0.00%, 0.00%),            43us (0.46%, 0.01%),            43us (0.05%, 0.02%),             0us (1.45%, 0.00%)
import/pred_mbbox/concat_2/_34             0B (0.00%, 0.00%),            40us (0.44%, 0.01%),            40us (0.03%, 0.02%),             0us (1.45%, 0.00%)
import/darknet/residual19/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),            34us (0.43%, 0.01%),             0us (0.01%, 0.00%),            34us (1.45%, 0.04%)
import/darknet/residual2/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           256B (0.01%, 0.00%),            33us (0.42%, 0.01%),             0us (0.01%, 0.00%),            33us (1.41%, 0.04%)
import/conv56/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),            32us (0.41%, 0.01%),             0us (0.01%, 0.00%),            32us (1.37%, 0.04%)
Range                               364B (0.01%, 0.00%),            32us (0.40%, 0.01%),             0us (0.01%, 0.00%),            32us (1.33%, 0.04%)
Reshape                               0B (0.00%, 0.00%),            29us (0.39%, 0.01%),             0us (0.01%, 0.00%),            29us (1.29%, 0.03%)
import/darknet/residual7/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),            28us (0.38%, 0.01%),             0us (0.01%, 0.00%),            28us (1.26%, 0.03%)
import/darknet/residual15/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),            28us (0.37%, 0.01%),             0us (0.01%, 0.00%),            28us (1.23%, 0.03%)
import/darknet/residual10/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),            27us (0.36%, 0.01%),             0us (0.01%, 0.00%),            27us (1.19%, 0.03%)
import/conv52/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),            25us (0.35%, 0.01%),             0us (0.01%, 0.00%),            25us (1.16%, 0.03%)
import/pred_lbbox/Shape-0-0-DataFormatVecPermuteNCHWToNHWC-LayoutOptimizer            16B (0.01%, 0.00%),            25us (0.34%, 0.01%),             0us (0.01%, 0.00%),            25us (1.13%, 0.03%)
import/pred_sbbox/Shape-0-0-DataFormatVecPermuteNCHWToNHWC-LayoutOptimizer            16B (0.01%, 0.00%),            20us (0.33%, 0.01%),             0us (0.01%, 0.00%),            20us (1.10%, 0.02%)
_arg_import/input/input_data_0_0             0B (0.00%, 0.00%),            15us (0.32%, 0.01%),             0us (0.01%, 0.00%),            15us (1.08%, 0.02%)
import/darknet/conv43/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.01%, 0.00%),            14us (0.32%, 0.00%),             0us (0.01%, 0.00%),            14us (1.06%, 0.02%)
