time_stamp,Month,Average 60 m temperature,Average 60 m wind speed,Vector-averaged 60 m wind speed,Vector-averaged 60 m wind direction,Standard deviation of 60 m wind direction,Total precipitaion for the period,Estimated heat flux,Estimated friction velocity,Average 10 m temperature,Average 10 m wind speed,Vector-averaged 10 m wind speed,Vector-averaged 10 m wind direction,Standard deviation of 10 m wind direction,Average global irrradiation,Average net radiation,Estimated surface roughness length,day_month,Average 10 m vapor pressure,Average 10 m dew point temperature,hour_min,time_stamp,target,p_target
2020_01_01_06_30,01,-5.9108,588.16,586.88,237.79,3.7725,0.0,0.0,49.69,-6.1134,366.56,363.11,242.93,7.8568,0.0,-33.795,48.93,01,0.353,-7.3286,06_30,2020_01_01_06_30,0,0
2020_01_01_06_45,01,-5.8762,560.91,559.7,232.91,3.7569,0.0,0.0,49.32,-6.1302,340.92,337.23,240.13,8.4289,0.0,-33.077,59.22,01,0.355,-7.2635,06_45,2020_01_01_06_45,0,0
2020_01_01_07_00,01,-5.606,574.04,571.45,225.77,5.4469,0.0,0.0,51.47,-6.017,345.23,341.02,233.66,8.9424,0.0,-31.559,64.31,01,0.36,-7.605,07_00,2020_01_01_07_00,0,0
2020_01_01_07_15,01,-5.5817,481.4,479.2,212.78,5.4796,0.0,0.0,40.43,-5.9278,298.98,291.14,206.82,13.116,1.4511,-28.831999999999997,48.79,01,0.369,-6.7651,07_15,2020_01_01_07_15,0,0
2020_01_01_07_30,01,-5.5557,494.89,493.21,215.44,4.7211,0.0,0.0,41.77,-6.0587,307.81,303.06,211.25,10.065,8.0779,-24.361,49.16,01,0.365,-6.8945,07_30,2020_01_01_07_30,0,0
2020_01_01_07_45,01,-5.1766,487.52,486.02,217.83,4.4978,0.0,0.0,49.59,-5.7767,270.31,265.78,214.43,10.492,47.971000000000004,-3.7376,107.09,01,0.374,-6.5901,07_45,2020_01_01_07_45,0,1
2020_01_01_08_00,01,-5.0123,433.82,430.14,215.24,7.4663,0.0,0.0,40.39,-5.489,257.53,253.33,205.63,10.342,104.83,9.6742,73.21,01,0.381,-6.319,08_00,2020_01_01_08_00,1,1
2020_01_01_08_15,01,-4.9211,520.18,518.71,209.33,4.3098,0.0,0.0,42.18,-5.0807,336.19,329.99,209.76,11.0,155.41,14.284,38.09,01,0.39399999999999996,-5.9105,08_15,2020_01_01_08_15,1,1
2020_01_01_08_30,01,-4.6651,480.34,477.65,205.6,6.0666,0.0,0.0,29.67,-4.6765,353.42,348.59,206.05,9.4662,213.88,23.423000000000002,7.55,01,0.40299999999999997,-5.6195,08_30,2020_01_01_08_30,1,1
2020_01_01_08_45,01,-4.4485,399.97,394.3,199.9,9.6472,0.0,0.0,20.07,-4.3981,321.62,312.7,198.79,13.482999999999999,260.67,29.063000000000002,1.37,01,0.40700000000000003,-5.4833,08_45,2020_01_01_08_45,1,2
2020_01_01_09_00,01,-4.3067,406.1,400.17,194.28,9.7897,0.0,0.0,24.35,-4.2234,308.99,303.05,193.23,11.227,309.83,43.169,5.41,01,0.41100000000000003,-5.3537,09_00,2020_01_01_09_00,2,2
2020_01_01_09_15,01,-4.06,467.55,461.37,198.85,9.3136,0.0,0.0,24.02,-3.9099,380.64,369.56,197.5,13.825,358.78,86.785,1.43,01,0.42,-5.778,09_15,2020_01_01_09_15,2,2
2020_01_01_09_30,01,-3.4624,479.91,473.03,195.21,9.6988,0.0,0.0,22.02,-3.2807,408.34,397.6,201.4,13.134,406.92,117.53,0.45,01,0.435,-4.5972,09_30,2020_01_01_09_30,2,2
2020_01_01_09_45,01,-2.8683,514.04,509.24,191.88,7.8292,0.0,0.0,26.74,-2.5635,421.04,412.93,193.95,11.24,434.93,149.69,1.47,01,0.447,-4.2526,09_45,2020_01_01_09_45,2,2
2020_01_01_10_00,01,-2.2499,508.92,503.07,202.6,8.686,0.0,0.0,15.47,-1.9166,470.77,458.64,202.14,13.004000000000001,450.18,170.74,0.0,01,0.452,-4.856,10_00,2020_01_01_10_00,2,2
2020_01_01_10_15,01,-1.8109,532.82,525.18,204.31,9.7021,0.0,0.0,20.27,-1.3737,476.28,464.69,210.02,12.633,475.81,180.51,0.05,01,0.46399999999999997,-3.7462,10_15,2020_01_01_10_15,2,2
2020_01_01_10_30,01,-1.3359,559.01,550.46,200.68,10.017999999999999,0.0,0.0,21.55,-0.8007,496.49,485.42,201.02,12.094000000000001,485.89,182.28,0.07,01,0.47200000000000003,-3.5144,10_30,2020_01_01_10_30,2,2
2020_01_01_10_45,01,-0.9905,605.38,599.03,190.97,8.2967,0.0,0.0,26.36,-0.4889,517.84,506.76,195.85,11.849,477.9,178.38,0.29,01,0.47,-3.5644,10_45,2020_01_01_10_45,2,2
2020_01_01_11_00,01,-0.5887,611.24,604.05,195.5,8.7835,0.0,0.0,18.53,-0.0827,562.45,554.34,195.9,9.7286,476.64,181.47,0.0,01,0.473,-3.4811,11_00,2020_01_01_11_00,2,2
2020_01_01_11_15,01,0.0363,657.57,649.81,201.0,8.8019,0.0,0.0,29.53,0.6467,553.77,538.58,207.43,13.414000000000001,468.15,187.74,0.43,01,0.467,-3.6494,11_15,2020_01_01_11_15,2,2
2020_01_01_11_30,01,0.7767,579.09,569.16,206.39,10.610999999999999,0.0,0.0,26.08,1.4107,495.61,482.32,207.07,13.263,459.71,205.73,0.37,01,0.452,-4.876,11_30,2020_01_01_11_30,2,2
2020_01_01_11_45,01,1.2569,764.18,756.32,205.19,8.2171,0.0,0.0,43.49,1.8943,588.66,577.38,208.55,11.21,457.88,215.08,3.84,01,0.436,-4.5711,11_45,2020_01_01_11_45,2,2
2020_01_01_12_00,01,1.7747,775.05,768.2,206.13,7.6114,0.0,0.0,35.32,2.3389,643.1,632.23,205.44,10.535,459.13,221.92,0.55,01,0.428,-4.8158,12_00,2020_01_01_12_00,2,2
2020_01_01_12_15,01,2.2472,773.57,765.67,208.41,8.1859,0.0,0.0,35.53,2.8328,640.85,627.62,209.9,11.64,457.89,226.09,0.59,01,0.442,-4.3877,12_15,2020_01_01_12_15,2,2
2020_01_01_12_30,01,2.6251,775.45,768.66,204.86,7.5787,0.0,0.0,34.82,3.1795,646.8,633.83,204.95,11.468,451.63,228.28,0.47,01,0.45899999999999996,-3.8685,12_30,2020_01_01_12_30,2,2
2020_01_01_12_45,01,2.9609,739.17,726.18,208.25,10.735999999999999,0.0,0.0,47.36,3.6401,545.06,524.88,213.98,15.585999999999999,440.93,228.25,8.84,01,0.48,-3.2898,12_45,2020_01_01_12_45,2,2
2020_01_01_13_00,01,3.316,746.38,736.36,203.52,9.386,0.0,0.0,36.13,3.8965,610.08,598.6,203.19,11.107999999999999,426.96,225.15,0.95,01,0.484,-3.1866,13_00,2020_01_01_13_00,2,2
2020_01_01_13_15,01,3.5307,787.02,777.12,205.25,9.0868,0.0,0.0,46.17,4.1506,598.27,581.81,206.46,13.432,410.57,219.19,4.88,01,0.494,-2.8995,13_15,2020_01_01_13_15,2,2
2020_01_01_13_30,01,3.7533,803.9,795.26,204.55,8.3986,0.0,0.0,44.67,4.3597,622.11,605.78,207.1,13.123,391.88,210.59,3.28,01,0.508,-2.5425,13_30,2020_01_01_13_30,2,2
2020_01_01_13_45,01,4.0544,870.03,861.53,206.31,8.0078,0.0,0.0,51.33,4.6037,654.76,635.24,211.08,13.988,370.21,199.53,5.33,01,0.509,-2.4934,13_45,2020_01_01_13_45,2,2
2020_01_01_14_00,01,4.4509,717.39,703.78,202.81,11.159,0.0,0.0,36.86,5.0467,574.11,557.7,205.07,13.690999999999999,346.02,185.96,1.64,01,0.523,-2.127,14_00,2020_01_01_14_00,2,2
2020_01_01_14_15,01,4.7321,631.86,617.1,193.72,12.38,0.0,0.0,28.39,5.2432,532.49,515.89,197.45,14.302,319.28,170.25,0.43,01,0.539,-1.7297,14_15,2020_01_01_14_15,2,2
2020_01_01_14_30,01,4.6644,736.23,726.13,186.53,9.4891,0.0,0.0,42.86,5.1905,559.59,545.1,188.6,13.034,290.63,154.25,4.69,01,0.5670000000000001,-1.4569999999999999,14_30,2020_01_01_14_30,2,2
2020_01_01_14_45,01,4.7813,860.45,851.16,191.92,8.4149,0.0,0.0,49.43,5.2507,650.57,637.99,195.05,11.264000000000001,257.36,134.57,4.52,01,0.5720000000000001,0.9321,14_45,2020_01_01_14_45,2,2
2020_01_01_15_00,01,4.9742,917.52,908.66,190.83,7.9629,0.0,0.0,55.45,5.4042,678.54,664.54,195.44,11.635,221.39,112.37,6.61,01,0.5720000000000001,0.9271,15_00,2020_01_01_15_00,2,2
2020_01_01_15_15,01,5.1041,867.62,857.47,189.81,8.7615,0.0,0.0,55.45,5.5001,627.61,613.03,192.87,12.344000000000001,186.25,87.631,9.64,01,0.5760000000000001,0.8235,15_15,2020_01_01_15_15,2,2
2020_01_01_15_30,01,5.1327,770.37,761.22,188.95,8.8275,0.0,0.0,47.12,5.4868,566.76,551.79,192.82,13.168,147.09,59.985,7.21,01,0.5870000000000001,0.5668,15_30,2020_01_01_15_30,2,1
2020_01_01_15_45,01,5.0988,855.06,844.22,192.08,9.1206,0.0,0.0,56.96,5.4006,606.47,594.7,196.49,11.282,110.46,29.426,12.71,01,0.59,0.489,15_45,2020_01_01_15_45,1,0
2020_01_01_16_00,01,4.9963,789.7,781.45,185.42,8.2825,0.0,0.0,53.0,5.2401,558.08,546.5,187.86,11.667,75.471,-0.2031,13.33,01,0.604,0.1815,16_00,2020_01_01_16_00,0,0
2020_01_01_16_15,01,4.7177,799.43,789.49,184.0,9.0306,0.0,0.0,58.58,4.8757,541.54,529.55,188.92,12.050999999999998,44.84,-19.609,22.66,01,0.615,0.8059999999999999,16_15,2020_01_01_16_15,0,0
2020_01_01_16_30,01,4.4774,843.69,833.92,185.25,8.7162,0.0,0.0,68.81,4.5791,540.97,526.51,191.51,13.245,14.97,-29.26,39.91,01,0.624,0.2759,16_30,2020_01_01_16_30,0,0
2020_01_01_16_45,01,4.2105,769.26,756.64,186.07,10.370999999999999,0.0,0.0,55.65,4.3256,522.6,508.98,193.43,13.075999999999999,3.5238,-32.744,21.38,01,0.63,0.4023,16_45,2020_01_01_16_45,0,0
