time_stamp,Month,Average 60 m temperature,Average 60 m wind speed,Vector-averaged 60 m wind speed,Vector-averaged 60 m wind direction,Standard deviation of 60 m wind direction,Total precipitaion for the period,Estimated heat flux,Estimated friction velocity,Average 10 m temperature,Average 10 m wind speed,Vector-averaged 10 m wind speed,Vector-averaged 10 m wind direction,Standard deviation of 10 m wind direction,Average global irrradiation,Average net radiation,Estimated surface roughness length,day_month,Average 10 m vapor pressure,Average 10 m dew point temperature,hour_min,time_stamp,target,p_target
2020_01_21_20_15,01,-3.9077,632.73,628.37,205.11,6.7251,0.0,0.0,46.88,-3.8617,419.98,413.54,209.32,10.029,0.0,-54.026,25.76,21,0.37,-6.7311,20_15,2020_01_21_20_15,0,0
2020_01_21_20_30,01,-3.9472,635.32,630.36,203.19,7.1584,0.0,0.0,46.58,-3.874,423.93,415.58,207.69,11.367,0.0,-53.028999999999996,24.3,21,0.37,-6.7046,20_30,2020_01_21_20_30,0,0
2020_01_21_20_45,01,-4.0096,676.88,670.9,198.63,7.6118,0.0,0.0,43.63,-3.896,477.18,468.68,200.63,10.811,0.0,-53.386,11.47,21,0.37,-6.7187,20_45,2020_01_21_20_45,0,0
2020_01_21_21_00,01,-4.0597,719.4,712.47,199.76,7.9483,0.0,0.0,36.67,-3.8515,546.68,537.04,203.87,10.754000000000001,0.0,-52.208,2.28,21,0.37,-6.7065,21_00,2020_01_21_21_00,0,0
2020_01_21_21_15,01,-4.1059,668.9,661.07,204.73,8.7651,0.0,0.0,30.74,-3.8994,516.54,504.15,212.8,12.544,0.0,-53.157,1.07,21,0.369,-6.7623,21_15,2020_01_21_21_15,0,0
2020_01_21_21_30,01,-4.1413,712.93,706.75,206.93,7.5446,0.0,0.0,46.02,-3.9765,503.54,492.21,210.72,12.149000000000001,0.0,-54.888000000000005,11.43,21,0.369,-6.7543,21_30,2020_01_21_21_30,0,0
2020_01_21_21_45,01,-4.2351,719.26,711.9,205.77,8.1939,0.0,0.0,35.26,-4.038,550.64,540.32,210.18,11.09,0.0,-56.537,1.71,21,0.371,-6.6818,21_45,2020_01_21_21_45,0,0
2020_01_21_22_00,01,-4.3701,665.79,655.31,200.17,10.162,0.0,0.0,39.94,-4.2243,479.93,466.64,206.07,13.48,0.0,-55.974,7.42,21,0.369,-6.7384,22_00,2020_01_21_22_00,0,0
2020_01_21_22_15,01,-4.4073,692.08,684.59,202.14,8.4229,0.0,0.0,39.58,-4.2135,508.23,497.25,206.56,11.909,0.0,-52.92100000000001,5.29,21,0.369,-6.7519,22_15,2020_01_21_22_15,0,0
2020_01_21_22_30,01,-4.531,653.46,647.57,198.62,7.6921,0.0,0.0,37.93,-4.3696,475.07,464.72,202.77,11.955,0.0,-56.488,6.05,21,0.37,-6.7214,22_30,2020_01_21_22_30,0,0
2020_01_21_22_45,01,-4.6322,638.14,631.32,202.11,8.3723,0.0,0.0,38.05,-4.4811,459.02,447.79,206.13,12.665,0.0,-57.903999999999996,7.31,21,0.36700000000000005,-6.8144,22_45,2020_01_21_22_45,0,0
2020_01_21_23_00,01,-4.7255,588.77,581.34,203.4,9.1027,0.0,0.0,35.15,-4.5562,420.78,413.19,211.76,10.88,0.0,-55.479,7.64,21,0.36700000000000005,-6.838,23_00,2020_01_21_23_00,0,0
2020_01_21_23_15,01,-4.8389,566.29,559.37,204.71,8.9547,0.0,0.0,5.04,-4.6583,434.04,426.75,209.38,10.495999999999999,0.0,-57.815,0.0,21,0.363,-6.9587,23_15,2020_01_21_23_15,0,0
2020_01_21_23_30,01,-4.8527,661.53,655.38,207.22,7.8101,0.0,0.0,40.47,-4.7081,472.5,462.82,209.61,11.595,0.0,-61.898999999999994,8.55,21,0.36200000000000004,-7.121,23_30,2020_01_21_23_30,0,0
2020_01_21_23_45,01,-4.8754,666.75,659.7,202.14,8.3284,0.0,0.0,35.17,-4.7358,496.37,488.29,204.65,10.335999999999999,0.0,-64.10300000000001,3.19,21,0.361,-7.472,23_45,2020_01_21_23_45,0,0
2020_01_21_00_00,01,-4.7787,784.4,775.91,200.97,8.4276,0.0,0.0,47.6,-4.6966,567.32,554.82,203.35,12.024000000000001,0.0,-64.359,7.66,21,0.358,-7.144,00_00,2020_01_21_00_00,0,0
2020_01_22_00_15,01,-4.7555,711.92,703.75,203.11,8.6767,0.0,0.0,42.68,-4.6538,514.22,504.33,206.66,11.231,0.0,-63.141000000000005,7.31,22,0.35600000000000004,-7.2301,00_15,2020_01_22_00_15,0,0
2020_01_22_00_30,01,-4.775,753.39,746.65,205.51,7.6612,0.0,0.0,45.5,-4.6694,544.95,534.88,209.59,11.011,0.0,-61.558,7.49,22,0.35700000000000004,-7.1729,00_30,2020_01_22_00_30,0,0
2020_01_22_00_45,01,-4.8281,748.16,741.98,205.65,7.3603,0.0,0.0,46.26,-4.7031,536.99,526.53,209.99,11.300999999999998,0.0,-60.33,8.71,22,0.354,-7.28,00_45,2020_01_22_00_45,0,0
2020_01_22_01_00,01,-4.8982,742.58,735.36,204.63,7.9872,0.0,0.0,42.38,-4.7683,546.93,534.1,207.8,12.409,0.0,-58.18,5.14,22,0.35100000000000003,-7.38,01_00,2020_01_22_01_00,0,0
2020_01_22_01_15,01,-4.929,714.32,708.0,202.58,7.6205,0.0,0.0,37.93,-4.7979,536.37,528.65,203.54,9.7188,0.0,-54.442,3.12,22,0.35100000000000003,-7.3889,01_15,2020_01_22_01_15,0,0
2020_01_22_01_30,01,-4.9098,746.84,740.1,199.9,7.6931,0.0,0.0,43.41,-4.7961,548.76,538.5,202.07,11.074000000000002,0.0,-49.426,5.7,22,0.35100000000000003,-7.3844,01_30,2020_01_22_01_30,0,0
2020_01_22_01_45,01,-4.9313,686.41,679.95,202.23,7.8611,0.0,0.0,37.22,-4.7625,512.94,503.06,207.0,11.244000000000002,0.0,-46.532,3.6,22,0.35200000000000004,-7.3601,01_45,2020_01_22_01_45,0,0
2020_01_22_02_00,01,-4.9207,641.45,635.02,207.66,8.1105,0.0,0.0,27.1,-4.7497,503.54,494.46,207.78,10.882,0.0,-44.427,0.52,22,0.35200000000000004,-7.3682,02_00,2020_01_22_02_00,0,0
2020_01_22_02_15,01,-4.8324,678.09,673.27,207.11,6.8324,0.0,0.0,47.2,-4.7152,465.61,456.47,211.15,11.344000000000001,0.0,-43.015,17.71,22,0.35200000000000004,-7.3486,02_15,2020_01_22_02_15,0,0
2020_01_22_02_30,01,-4.7935,668.9,661.65,203.59,8.4294,0.0,0.0,31.96,-4.6616,516.27,508.11,202.86,10.184,0.0,-41.328,1.37,22,0.354,-7.2993,02_30,2020_01_22_02_30,0,0
2020_01_22_02_45,01,-4.7704,650.92,641.51,205.83,9.7389,0.0,0.0,22.82,-4.6051,524.89,511.8,208.09,12.792,0.0,-42.717,0.09,22,0.35200000000000004,-7.3554,02_45,2020_01_22_02_45,0,0
2020_01_22_03_00,01,-4.7148,681.41,673.74,204.92,8.5971,0.0,0.0,36.98,-4.5483,509.88,499.81,209.85,11.384,0.0,-42.051,3.58,22,0.35200000000000004,-7.3508,03_00,2020_01_22_03_00,0,0
2020_01_22_03_15,01,-4.7157,684.5,674.76,206.63,9.6611,0.0,0.0,37.02,-4.5506,513.67,504.06,206.67,11.078,0.0,-38.343,3.45,22,0.35100000000000003,-7.3984,03_15,2020_01_22_03_15,0,0
2020_01_22_03_30,01,-4.7162,728.78,720.82,206.08,8.4644,0.0,0.0,36.64,-4.5289,559.53,548.52,205.92,11.363,0.0,-37.861,1.95,22,0.35,-7.444,03_30,2020_01_22_03_30,0,0
2020_01_22_03_45,01,-4.8335,695.11,689.17,195.76,7.4869,0.0,0.0,37.71,-4.6738,521.09,512.27,198.66,10.537,0.0,-40.675,3.53,22,0.35100000000000003,-7.3987,03_45,2020_01_22_03_45,0,0
2020_01_22_04_00,01,-4.9944,680.22,673.91,189.9,7.8048,0.0,0.0,45.38,-4.8535,475.94,468.47,193.29,10.146,0.0,-38.016,13.72,22,0.35,-7.4511,04_00,2020_01_22_04_00,0,0
2020_01_22_04_15,01,-5.1118,631.65,626.49,188.54,7.3192,0.0,0.0,34.42,-4.8859,471.89,463.49,193.07,10.808,0.0,-34.333,3.7,22,0.349,-7.4743,04_15,2020_01_22_04_15,0,0
2020_01_22_04_30,01,-5.1501,680.53,673.82,188.74,8.0425,0.0,0.0,47.16,-4.9151,469.57,460.62,192.56,11.185,0.0,-33.652,17.0,22,0.34700000000000003,-7.5389,04_30,2020_01_22_04_30,0,0
2020_01_22_04_45,01,-5.1134,727.36,720.63,191.82,7.7936,0.0,0.0,42.71,-4.8702,535.26,526.51,196.08,10.356,0.0,-30.875999999999998,5.93,22,0.34700000000000003,-7.5589,04_45,2020_01_22_04_45,0,0
2020_01_22_05_00,01,-5.0764,660.35,652.16,193.55,9.0171,0.0,0.0,34.06,-4.8451,502.73,490.95,198.02,12.398,0.0,-31.561999999999998,2.4,22,0.344,-7.6655,05_00,2020_01_22_05_00,0,0
2020_01_22_05_15,01,-5.0261,690.04,681.74,204.77,8.8822,0.0,0.0,39.86,-4.8171,508.79,498.14,207.68,11.72,0.0,-34.937,5.41,22,0.344,-7.6566,05_15,2020_01_22_05_15,0,0
2020_01_22_05_30,01,-5.0469,659.5,653.83,202.35,7.5094,0.0,0.0,30.92,-4.8434,511.54,503.68,206.55,10.037,0.0,-38.313,1.17,22,0.342,-7.7317,05_30,2020_01_22_05_30,0,0
2020_01_22_05_45,01,-5.0456,696.74,690.86,201.85,7.4395,0.0,0.0,37.22,-4.8402,525.35,516.67,205.03,10.409,0.0,-37.385,3.13,22,0.341,-7.7725,05_45,2020_01_22_05_45,0,0
2020_01_22_06_00,01,-5.09,729.49,724.11,197.11,6.9541,0.0,0.0,33.46,-4.8657,572.39,562.09,200.2,10.865,0.0,-37.832,0.92,22,0.34,-7.8034,06_00,2020_01_22_06_00,0,0
2020_01_22_06_15,01,-5.1451,788.0,782.72,189.8,6.6285,0.0,0.0,49.49,-4.9295,566.71,558.39,192.71,9.8137,0.0,-37.913000000000004,9.22,22,0.33899999999999997,-7.8342,06_15,2020_01_22_06_15,0,0
2020_01_22_06_30,01,-5.1911,765.01,760.0,191.92,6.5562,0.0,0.0,39.93,-4.9502,583.12,575.16,195.32,9.4634,0.0,-36.832,2.55,22,0.33799999999999997,-7.8829,06_30,2020_01_22_06_30,0,0
2020_01_22_06_45,01,-5.2605,700.37,693.93,198.84,7.7703,0.0,0.0,33.61,-5.0117,542.73,534.25,201.04,10.13,0.0,-37.672,1.37,22,0.33799999999999997,-7.8864,06_45,2020_01_22_06_45,0,0
2020_01_22_07_00,01,-5.3217,687.76,682.92,199.01,6.794,0.0,0.0,29.98,-5.0763,543.94,536.87,204.68,9.231,0.0,-35.963,0.61,22,0.336,-7.9543,07_00,2020_01_22_07_00,0,0
2020_01_22_07_15,01,-5.3716,661.06,657.21,199.37,6.1871,0.0,0.0,39.17,-5.1666,483.17,474.51,202.23,10.841,2.696,-32.102,6.45,22,0.337,-7.9204,07_15,2020_01_22_07_15,0,0
2020_01_22_07_30,01,-5.379,702.5,696.98,202.71,7.1796,0.0,0.0,39.92,-5.172,522.45,513.23,207.82,10.757,8.3281,-27.753,4.73,22,0.33799999999999997,-7.8697,07_30,2020_01_22_07_30,0,0
2020_01_22_07_45,01,-5.3304,711.0,705.3,205.18,7.2513,0.0,0.0,38.88,-5.1115,536.68,528.15,209.24,10.209,21.104,-20.648000000000003,3.52,22,0.33899999999999997,-7.8302,07_45,2020_01_22_07_45,0,0
2020_01_22_08_00,01,-5.2735,784.88,780.37,197.48,6.1408,0.0,0.0,48.81,-5.0384,570.34,562.58,199.67,9.4488,38.514,-9.1167,8.32,22,0.33899999999999997,-7.8625,08_00,2020_01_22_08_00,0,1
2020_01_22_08_15,01,-5.2769,617.06,611.0,199.87,8.0244,0.0,0.0,25.67,-4.9811,505.11,496.42,201.99,10.63,58.178999999999995,3.4223,0.31,22,0.33899999999999997,-7.8517,08_15,2020_01_22_08_15,1,1
2020_01_22_08_30,01,-5.2041,638.14,633.53,198.96,6.8884,0.0,0.0,28.48,-4.8856,514.85,506.45,200.9,10.342,76.449,12.001,0.6,22,0.342,-7.7505,08_30,2020_01_22_08_30,1,1
2020_01_22_08_45,01,-5.0932,583.9,577.58,200.7,8.4259,0.0,0.0,25.61,-4.741,475.76,468.11,201.92,10.275,96.603,21.654,0.49,22,0.34299999999999997,-7.6991,08_45,2020_01_22_08_45,1,1
2020_01_22_09_00,01,-4.9473,542.22,533.37,196.65,10.345999999999998,0.0,0.0,16.89,-4.5692,481.62,471.8,202.73,11.565,110.44,32.042,0.01,22,0.34299999999999997,-7.6833,09_00,2020_01_22_09_00,1,2
2020_01_22_09_15,01,-4.7575,653.32,646.68,191.62,8.1656,0.0,0.0,25.84,-4.3536,548.89,541.0,193.58,9.7111,131.86,44.778999999999996,0.16,22,0.345,-7.6223,09_15,2020_01_22_09_15,2,2
2020_01_22_09_30,01,-4.5429,656.56,649.39,192.05,8.4636,0.0,0.0,24.61,-4.0947,560.74,550.54,198.23,10.921,157.27,55.157,0.09,22,0.349,-7.4891,09_30,2020_01_22_09_30,2,2
2020_01_22_09_45,01,-4.342,640.12,632.38,193.55,8.906,0.0,0.0,24.06,-3.8758,548.73,537.47,197.25,11.603,178.8,63.721000000000004,0.08,22,0.349,-7.4588,09_45,2020_01_22_09_45,2,2
2020_01_22_10_00,01,-4.1686,700.48,693.45,195.71,8.1195,0.0,0.0,31.47,-3.6499,573.23,563.15,199.2,10.743,210.61,80.492,0.56,22,0.354,-7.2976,10_00,2020_01_22_10_00,2,2
2020_01_22_10_15,01,-3.8963,619.88,611.62,200.61,9.3508,0.0,0.0,29.02,-3.3353,506.24,494.69,206.88,12.238,225.45,86.206,0.77,22,0.355,-7.2702,10_15,2020_01_22_10_15,2,2
2020_01_22_10_30,01,-3.6293,626.57,619.55,197.03,8.5707,0.0,0.0,26.5,-3.0681,526.62,516.61,202.42,11.172,234.11,89.81200000000001,0.28,22,0.35600000000000004,-7.2062,10_30,2020_01_22_10_30,2,2
2020_01_22_10_45,01,-3.3257,544.88,534.63,193.41,11.109000000000002,0.0,0.0,21.77,-2.704,473.04,455.81,198.23,15.458,265.22,106.55,0.12,22,0.364,-6.9354,10_45,2020_01_22_10_45,2,2
2020_01_22_11_00,01,-3.1161,579.94,571.46,193.79,9.7922,0.0,0.0,23.41,-2.4981,499.81,486.99,200.63,12.97,275.29,110.59,0.15,22,0.363,-6.9522,11_00,2020_01_22_11_00,2,2
2020_01_22_11_15,01,-2.7061,533.55,525.28,190.91,10.088,0.0,0.0,24.2,-2.018,451.86,438.68,193.66,13.834000000000001,306.73,128.83,0.44,22,0.37200000000000005,-6.6632,11_15,2020_01_22_11_15,2,2
2020_01_22_11_30,01,-2.4701,514.34,504.41,193.45,11.258,0.0,99999.0,99999.0,-1.9106,491.58,476.76,196.63,14.065,311.21,130.69,99999.0,22,0.373,-6.615,11_30,2020_01_22_11_30,2,2
2020_01_22_11_45,01,-2.3152,573.37,561.32,189.29,11.745999999999999,0.0,0.0,22.45,-1.7054,500.75,484.91,192.41,14.405,307.12,126.55,0.1,22,0.379,-6.4176,11_45,2020_01_22_11_45,2,2
2020_01_22_12_00,01,-2.1309,652.46,643.47,182.47,9.5082,0.0,0.0,33.18,-1.5388,521.58,504.13,184.54,14.817,292.69,120.8,1.56,22,0.382,-6.2856,12_00,2020_01_22_12_00,2,2
2020_01_22_12_15,01,-1.878,655.65,647.19,178.08,9.2044,0.0,0.0,29.74,-1.275,546.87,527.57,183.64,15.215,351.22,152.88,0.51,22,0.389,-6.517,12_15,2020_01_22_12_15,2,2
2020_01_22_12_30,01,-1.2958,659.64,650.64,179.74,9.4584,0.0,0.0,30.77,-0.5723,554.13,538.45,186.92,13.629000000000001,524.05,248.47,0.58,22,0.401,-5.6648,12_30,2020_01_22_12_30,2,2
2020_01_22_12_45,01,-1.136,718.62,710.78,175.24,8.4599,0.0,0.0,39.37,-0.5154,557.28,543.4,180.52,12.786,323.66,132.72,2.99,22,0.40399999999999997,-5.5742,12_45,2020_01_22_12_45,2,2
2020_01_22_13_00,01,-1.0805,670.88,661.76,171.87,9.443,0.0,0.0,35.42,-0.5334,527.52,516.81,173.06,11.542,292.18,113.21,2.2,22,0.41,-5.3744,13_00,2020_01_22_13_00,2,2
2020_01_22_13_15,01,-0.7749,654.63,642.74,180.16,10.919,0.0,0.0,32.04,-0.117,528.65,507.77,183.86,16.098,267.14,111.91,1.13,22,0.41,-5.3597,13_15,2020_01_22_13_15,2,2
2020_01_22_13_30,01,-0.3555,706.61,698.95,182.51,8.4321,0.0,0.0,36.38,0.3591,563.15,548.19,191.84,13.203,343.02,159.26,1.72,22,0.41600000000000004,-5.1741,13_30,2020_01_22_13_30,2,2
2020_01_22_13_45,01,0.0762,717.24,708.55,186.98,8.9151,0.0,0.0,40.2,0.8007,553.52,535.49,193.34,14.618,319.72,152.92,3.49,22,0.42,-5.688,13_45,2020_01_22_13_45,2,2
2020_01_22_14_00,01,0.3307,713.85,702.23,181.17,10.333,0.0,0.0,31.6,0.9827,594.55,583.07,193.54,11.253,315.23,150.89,0.43,22,0.42100000000000004,-5.272,14_00,2020_01_22_14_00,2,2
2020_01_22_14_15,01,0.2962,884.02,875.43,179.64,7.9832,0.0,0.0,57.83,0.8792,632.89,617.48,185.06,12.64,173.68,76.699,11.25,22,0.425,-4.8928,14_15,2020_01_22_14_15,2,2
2020_01_22_14_30,01,0.4232,848.9,836.0,184.82,9.9869,0.0,0.0,48.25,1.0163,642.78,623.19,188.27,14.140999999999998,217.04,107.22,4.24,22,0.431,-4.7207,14_30,2020_01_22_14_30,2,2
2020_01_22_14_45,01,0.4587,672.27,660.05,180.14,10.917,0.0,0.0,36.2,1.025,520.04,502.49,190.17,14.879000000000001,145.76,66.805,2.75,22,0.429,-4.7761,14_45,2020_01_22_14_45,2,2
2020_01_22_15_00,01,0.4731,768.88,757.36,181.86,9.9125,0.0,0.0,46.76,1.0307,566.55,550.49,185.67,13.637,132.04,54.431000000000004,6.96,22,0.435,-4.5828,15_00,2020_01_22_15_00,2,2
2020_01_22_15_15,01,0.5842,627.58,615.31,182.27,11.327,0.0,0.0,31.98,1.1806,496.56,483.02,188.54,13.375,161.63,71.205,1.7,22,0.435,-4.605,15_15,2020_01_22_15_15,2,2
2020_01_22_15_30,01,0.6754,607.35,598.63,182.1,9.7086,0.0,0.0,32.62,1.2772,469.82,455.61,186.32,14.083,124.5,46.217,2.71,22,0.44,-4.4289,15_30,2020_01_22_15_30,2,1
2020_01_22_15_45,01,0.5302,745.01,732.82,181.72,10.360999999999999,0.0,0.0,41.69,1.0477,563.41,548.94,190.2,12.981,77.233,19.55,3.92,22,0.423,-4.9523,15_45,2020_01_22_15_45,1,1
2020_01_22_16_00,01,0.2122,751.18,739.76,176.76,9.9851,0.0,0.0,56.23,0.7217,505.63,491.14,181.35,13.714,69.899,21.723000000000003,25.06,22,0.42700000000000005,-4.8412,16_00,2020_01_22_16_00,1,1
2020_01_22_16_15,01,-0.0071,699.22,688.27,175.21,10.137,0.0,0.0,39.88,0.4629,525.02,507.78,182.98,14.677999999999999,38.275999999999996,5.3597,4.53,22,0.436,-4.5826,16_15,2020_01_22_16_15,1,0
2020_01_22_16_30,01,-0.153,713.98,705.69,176.0,8.7291,0.0,0.0,51.55,0.2718,488.67,477.76,183.79,12.103,24.678,-0.3185,20.51,22,0.43700000000000006,-4.5261,16_30,2020_01_22_16_30,0,0
2020_01_22_16_45,01,-0.2255,765.61,756.9,177.54,8.638,0.0,0.0,50.48,0.1865,543.92,530.04,181.95,12.94,11.069,-8.5617,12.09,22,0.429,-4.786,16_45,2020_01_22_16_45,0,0
2020_01_22_17_00,01,-0.2682,554.98,544.99,178.69,10.869000000000002,0.0,0.0,28.34,0.1005,425.93,414.33,183.84,13.365,2.6714,-13.01,2.14,22,0.431,-4.7225,17_00,2020_01_22_17_00,0,0
2020_01_22_17_15,01,-0.3237,581.19,570.88,171.01,10.786,0.0,0.0,29.76,0.0526,445.2,434.35,176.82,12.645,0.2785,-16.415,2.21,22,0.423,-4.964,17_15,2020_01_22_17_15,0,0
2020_01_22_17_30,01,-0.408,517.62,508.9,173.27,10.515,0.0,0.0,34.45,-0.0664,362.12,350.4,184.97,14.572000000000001,0.0,-18.225,13.6,22,0.435,-4.5869,17_30,2020_01_22_17_30,0,0
2020_01_22_17_45,01,-0.4514,597.96,586.75,167.19,11.092,0.0,0.0,37.07,-0.1061,431.11,418.64,173.67,13.777000000000001,0.0,-20.585,8.59,22,0.435,-4.5981,17_45,2020_01_22_17_45,0,0
2020_01_22_18_00,01,-0.5424,558.93,552.2,157.8,8.8925,0.0,0.0,27.55,-0.1627,429.61,420.27,158.86,11.939,0.0,-21.026999999999997,1.72,22,0.433,-4.6416,18_00,2020_01_22_18_00,0,0
2020_01_22_18_15,01,-0.595,548.11,540.2,160.09,9.7283,0.0,0.0,27.53,-0.2119,420.7,409.41,165.72,13.270999999999999,0.0,-16.609,1.94,22,0.44,-4.4364,18_15,2020_01_22_18_15,0,0
2020_01_22_18_30,01,-0.6171,562.68,553.92,165.46,10.11,0.0,0.0,36.15,-0.252,400.86,388.68,170.35,14.118,0.0,-15.458,10.7,22,0.447,-4.2457,18_30,2020_01_22_18_30,0,0
2020_01_22_18_45,01,-0.6305,608.36,599.77,170.75,9.6237,0.0,0.0,38.64,-0.2206,436.45,422.95,181.32,14.248,0.0,-14.037,9.81,22,0.44,-4.4501,18_45,2020_01_22_18_45,0,0
2020_01_22_19_00,01,-0.6476,586.07,577.28,174.39,9.9151,0.0,0.0,29.56,-0.2311,451.22,441.69,183.01,11.767999999999999,0.0,-15.409,1.95,22,0.435,-4.604,19_00,2020_01_22_19_00,0,0
2020_01_22_19_15,01,-0.7139,547.64,538.84,171.42,10.267000000000001,0.0,0.0,36.39,-0.3466,383.99,371.97,177.85,14.332,0.0,-19.009,13.35,22,0.43200000000000005,-4.7023,19_15,2020_01_22_19_15,0,0
2020_01_22_19_30,01,-0.7526,582.89,574.42,176.4,9.7634,0.0,0.0,34.33,-0.3853,427.66,417.41,180.49,12.537,0.0,-18.985,6.13,22,0.423,-4.9623,19_30,2020_01_22_19_30,0,0
2020_01_22_19_45,01,-0.8046,521.89,513.01,175.28,10.565,0.0,0.0,27.66,-0.4414,392.15,381.59,183.85,13.295,0.0,-20.988000000000003,3.07,22,0.419,-5.869,19_45,2020_01_22_19_45,0,0
2020_01_22_20_00,01,-0.8179,494.38,483.77,173.91,11.867,0.0,0.0,27.12,-0.4651,369.48,359.38,183.1,13.394,0.0,-14.478,3.82,22,0.41200000000000003,-5.3275,20_00,2020_01_22_20_00,0,0
2020_01_22_20_15,01,-0.8176,514.57,506.78,174.92,9.9684,0.0,0.0,26.09,-0.4694,393.3,381.31,181.47,14.142000000000001,0.0,-15.289000000000001,2.12,22,0.409,-5.4227,20_15,2020_01_22_20_15,0,0
2020_01_22_20_30,01,-0.8419,517.36,508.55,175.03,10.565999999999999,0.0,0.0,28.88,-0.5048,386.23,374.82,179.51,13.925,0.0,-12.78,4.21,22,0.408,-5.4446,20_30,2020_01_22_20_30,0,0
2020_01_22_20_45,01,-0.7948,558.31,549.99,180.44,9.8871,0.0,0.0,25.09,-0.4564,441.78,430.59,185.78,12.894,0.0,-13.379000000000001,0.75,22,0.40700000000000003,-5.4751,20_45,2020_01_22_20_45,0,0
2020_01_22_21_00,01,-0.7714,554.77,546.34,177.74,9.99,0.0,0.0,31.87,-0.4228,411.34,399.77,183.61,13.587,0.0,-13.075999999999999,5.09,22,0.40399999999999997,-5.5695,21_00,2020_01_22_21_00,0,0
2020_01_22_21_15,01,-0.7987,473.21,464.28,180.03,11.129000000000001,0.0,0.0,28.12,-0.4255,345.19,334.36,183.1,14.350999999999999,0.0,-12.672,6.61,22,0.39899999999999997,-5.7447,21_15,2020_01_22_21_15,0,0
2020_01_22_21_30,01,-0.7556,542.41,534.64,175.82,9.6974,0.0,0.0,31.23,-0.3848,401.91,391.14,182.93,13.257,0.0,-12.190999999999999,5.16,22,0.397,-5.7973,21_30,2020_01_22_21_30,0,0
2020_01_22_21_45,01,-0.719,555.88,549.67,179.48,8.5596,0.0,0.0,32.36,-0.4126,409.48,401.75,183.43,11.129000000000001,0.0,-16.22,5.65,22,0.396,-5.8215,21_45,2020_01_22_21_45,0,0
2020_01_22_22_00,01,-0.7365,593.8,583.46,181.58,10.685,0.0,0.0,30.94,-0.4077,452.97,440.25,188.1,13.573,0.0,-16.695,2.51,22,0.397,-5.8148,22_00,2020_01_22_22_00,0,0
2020_01_22_22_15,01,-0.7941,609.45,599.66,182.12,10.269,0.0,0.0,39.24,-0.4524,434.97,422.77,185.34,13.567,0.0,-14.206,10.69,22,0.4,-5.7156,22_15,2020_01_22_22_15,0,0
2020_01_22_22_30,01,-0.8297,675.91,669.93,180.48,7.623,0.0,0.0,53.74,-0.4599,439.84,429.26,188.0,12.565999999999999,0.0,-10.895999999999999,34.95,22,0.402,-5.635,22_30,2020_01_22_22_30,0,0
2020_01_22_22_45,01,-0.8885,609.91,601.44,180.69,9.5454,0.0,0.0,43.4,-0.4822,418.85,407.18,187.55,13.517999999999999,0.0,-8.0679,19.17,22,0.40700000000000003,-5.4798,22_45,2020_01_22_22_45,0,0
2020_01_22_23_00,01,-0.8639,571.33,562.84,185.03,9.877,0.0,0.0,38.06,-0.4509,404.55,392.38,189.43,14.050999999999998,0.0,-1.9732,12.82,22,0.413,-5.2932,23_00,2020_01_22_23_00,0,0
2020_01_22_23_15,01,-0.8419,522.62,510.74,188.15,12.215,0.0,0.0,25.82,-0.4283,408.52,396.9,192.22,13.662,0.0,-2.5872,1.53,22,0.41600000000000004,-5.1974,23_15,2020_01_22_23_15,0,0
2020_01_22_23_30,01,-0.7802,590.9,582.74,188.27,9.5191,0.0,0.0,27.52,-0.3827,469.79,458.65,193.8,12.470999999999998,0.0,-1.9218,0.92,22,0.41700000000000004,-5.1489,23_30,2020_01_22_23_30,0,0
2020_01_22_23_45,01,-0.7636,542.97,536.68,189.82,8.7138,0.0,0.0,27.15,-0.4054,423.3,412.98,196.53,12.652000000000001,0.0,-2.3289,1.68,22,0.42,-5.697,23_45,2020_01_22_23_45,0,0
2020_01_22_00_00,01,-0.7815,514.96,507.77,186.95,9.5654,0.0,0.0,27.29,-0.4132,394.25,385.31,195.13,12.2,0.0,-3.3175,2.69,22,0.419,-5.856,00_00,2020_01_22_00_00,0,0
2020_01_23_00_15,01,-0.7907,520.86,513.86,182.93,9.3926,0.0,0.0,28.48,-0.3866,395.14,386.92,185.63,11.682,0.0,-3.1889,3.39,23,0.419,-5.776,00_15,2020_01_23_00_15,0,0
2020_01_23_00_30,01,-0.7226,597.63,591.13,183.04,8.4455,0.0,0.0,40.31,-0.3399,420.81,412.98,189.66,11.049000000000001,0.0,-3.4203,13.85,23,0.41700000000000004,-5.1554,00_30,2020_01_23_00_30,0,0
2020_01_23_00_45,01,-0.7083,577.4,567.57,184.13,10.565,0.0,0.0,29.72,-0.3436,446.13,434.51,186.62,13.074000000000002,0.0,-3.8308,2.13,23,0.42,-5.569,00_45,2020_01_23_00_45,0,0
2020_01_23_01_00,01,-0.8617,709.38,700.14,185.51,9.2428,0.0,0.0,43.15,-0.4848,520.11,509.05,190.3,11.815,0.0,-3.9272,7.15,23,0.425,-4.8868,01_00,2020_01_23_01_00,0,0
2020_01_23_01_15,01,-1.066,634.47,627.86,183.42,8.2649,0.0,0.0,35.7,-0.6743,477.54,467.52,188.61,11.735,0.0,-3.575,4.16,23,0.44299999999999995,-4.3461,01_15,2020_01_23_01_15,0,0
