RAM 6114/31919MB (lfb 4800x4MB) SWAP 0/15959MB (cached 0MB) CPU [79%@2263,7%@2263,9%@2263,17%@2263,25%@2263,28%@2263,7%@2263,7%@2263] EMC_FREQ 51%@2133 GR3D_FREQ 77%@1377 APE 150 MTS fg 0% bg 0% AO@38.5C GPU@43.5C Tdiode@44.5C PMIC@100C AUX@38C CPU@40.5C thermal@40.5C Tboard@39C GPU 16407/16114 CPU 2607/2595 SOC 4295/4306 CV 0/0 VDDRQ 2607/2607 SYS5V 4472/4462
RAM 6115/31919MB (lfb 4800x4MB) SWAP 0/15959MB (cached 0MB) CPU [79%@2263,10%@2263,14%@2264,14%@2263,18%@2264,23%@2263,13%@2264,7%@2264] EMC_FREQ 51%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44.5C Tdiode@44.5C PMIC@100C AUX@37.5C CPU@40.5C thermal@40.05C Tboard@39C GPU 16707/16156 CPU 2453/2585 SOC 4448/4316 CV 0/0 VDDRQ 2760/2618 SYS5V 4512/4466
RAM 6116/31919MB (lfb 4800x4MB) SWAP 0/15959MB (cached 0MB) CPU [79%@2263,8%@2263,8%@2263,8%@2262,28%@2263,30%@2263,11%@2263,8%@2263] EMC_FREQ 51%@2133 GR3D_FREQ 20%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44C Tdiode@44.5C PMIC@100C AUX@37.5C CPU@41C thermal@40.5C Tboard@39C GPU 16407/16173 CPU 2607/2586 SOC 4295/4315 CV 0/0 VDDRQ 2607/2617 SYS5V 4512/4469
RAM 6115/31919MB (lfb 4800x4MB) SWAP 0/15959MB (cached 0MB) CPU [77%@2263,14%@2263,10%@2263,10%@2263,27%@2263,25%@2263,4%@2263,9%@2263] EMC_FREQ 51%@2133 GR3D_FREQ 98%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@45C Tdiode@44.5C PMIC@100C AUX@37.5C CPU@40.5C thermal@40.5C Tboard@39C GPU 17473/16254 CPU 2606/2588 SOC 4445/4323 CV 0/0 VDDRQ 2760/2626 SYS5V 4512/4472
RAM 6115/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [83%@2263,8%@2263,10%@2264,7%@2264,32%@2263,24%@2263,8%@2263,12%@2263] EMC_FREQ 51%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44C Tdiode@44.5C PMIC@100C AUX@37.5C CPU@41C thermal@40.65C Tboard@39C GPU 16407/16263 CPU 2607/2589 SOC 4295/4321 CV 0/0 VDDRQ 2607/2625 SYS5V 4472/4472
RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [80%@2263,8%@2263,11%@2263,9%@2263,25%@2263,24%@2263,7%@2263,5%@2263] EMC_FREQ 51%@2133 GR3D_FREQ 86%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@45C Tdiode@44.75C PMIC@100C AUX@37.5C CPU@40.5C thermal@40.7C Tboard@39C GPU 17014/16305 CPU 2453/2581 SOC 4295/4320 CV 0/0 VDDRQ 2606/2624 SYS5V 4472/4472
RAM 6115/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [82%@2262,12%@2262,13%@2262,10%@2262,26%@2262,22%@2263,11%@2263,9%@2263] EMC_FREQ 51%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@40.5C thermal@40.7C Tboard@39C GPU 16561/16318 CPU 2607/2582 SOC 4295/4319 CV 0/0 VDDRQ 2607/2623 SYS5V 4512/4474
RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [82%@2263,12%@2263,8%@2263,7%@2263,29%@2263,25%@2263,10%@2262,9%@2262] EMC_FREQ 51%@2133 GR3D_FREQ 74%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@37.5C CPU@41C thermal@40.7C Tboard@39C GPU 16867/16346 CPU 2606/2584 SOC 4446/4325 CV 0/0 VDDRQ 2760/2630 SYS5V 4512/4476
RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [80%@2263,12%@2263,12%@2263,6%@2263,27%@2263,26%@2263,5%@2263,5%@2263] EMC_FREQ 51%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@45C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@40.65C Tboard@39C GPU 16867/16370 CPU 2606/2585 SOC 4293/4323 CV 0/0 VDDRQ 2606/2629 SYS5V 4472/4475
RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [84%@2263,11%@2263,13%@2263,16%@2263,25%@2264,24%@2264,10%@2263,9%@2263] EMC_FREQ 50%@2133 GR3D_FREQ 97%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@40.65C Tboard@39C GPU 16254/16365 CPU 2607/2586 SOC 4295/4322 CV 0/0 VDDRQ 2607/2628 SYS5V 4472/4475
