Day of the month,Month,Year,Mid averaging-period time,"Pasquill stability class
",Average 60 m wind direction (scalar) (units: deg),"Average 60 m wind speed (scalar)
 (units: m/s)","Standard deviation of 60 m wind direction
(units: deg)","Average 60 m temperature 
(units:deg C)",Average 10 m wind direction (scalar) (units: deg),Average 10 m wind speed (scalar) (units: m/s),Standard deviation of 10 m wind direction (units: deg),Average 10 m temperature (units: deg C),"Average dew point temperature (units: deg C)
",Average relative humidity (units: %),Average temperature difference/100m (units: deg C/100m),Total precipitation (units: mm),Average solar radiation (units: Watts/m**2),Average net radiation (units: Watts/m**2),Average barometric pressure (units: kPa),Average water vapor pressure (units: kPa),Average 10 cm soil temperature (units: deg C),Average 100 cm soil temperature (units: deg C),Average 10 ft soil temperature (units: deg C)
1,1,20,30,D   ,263.5,6.1,7.9,-3.7,262.3,4.3,11.1,-3.6,-5.2,89.3,-0.2,0.0,0.00,-53.30,98.69,0.41,2.1,5.6,9.6
1,1,20,130,D   ,259.0,4.9,7.7,-4.3,257.5,3.6,10.6,-4.2,-5.7,91.1,-0.1,0.0,0.00,-51.70,98.67,0.40,2.1,5.6,9.6
1,1,20,230,D   ,252.2,4.5,6.3,-4.8,252.6,3.1,7.8,-4.8,-6.2,91.9,0.1,0.0,0.00,-45.50,98.69,0.38,2.1,5.6,9.6
1,1,20,330,D   ,248.3,5.2,5.9,-5.2,249.4,3.5,7.6,-5.3,-6.4,93.9,0.3,0.0,0.00,-40.00,98.67,0.38,2.0,5.6,9.6
1,1,20,430,D   ,250.9,5.5,5.0,-5.5,253.9,3.7,7.7,-5.6,-6.9,92.6,0.2,0.0,0.00,-37.70,98.66,0.36,2.0,5.6,9.6
1,1,20,530,D   ,249.1,5.7,6.4,-5.7,251.1,3.8,8.0,-5.8,-7.1,92.6,0.2,0.0,0.00,-35.00,98.65,0.36,2.0,5.6,9.6
1,1,20,630,D   ,235.1,5.8,7.9,-5.8,240.7,3.6,8.2,-6.1,-7.3,93.8,0.5,0.0,0.00,-33.20,98.65,0.35,1.9,5.6,9.6
1,1,20,730,D   ,215.3,4.7,5.9,-5.3,209.6,2.8,11.1,-5.8,-6.6,96.8,1.0,0.0,40.60,-11.80,98.62,0.37,1.9,5.6,9.6
1,1,20,830,C   ,202.9,4.5,9.5,-4.6,202.2,3.3,11.4,-4.6,-5.6,94.3,0.0,0.0,234.90,27.50,98.67,0.40,1.9,5.6,9.6
1,1,20,930,B   ,197.1,4.9,9.8,-3.2,198.9,4.2,12.8,-2.9,-4.5,88.0,-0.5,0.0,412.70,131.20,98.71,0.44,1.9,5.6,9.6
1,1,20,1030,C   ,197.6,5.8,10.5,-1.2,200.4,5.1,11.6,-0.7,-3.6,78.7,-1.0,0.0,479.10,180.70,98.72,0.47,1.8,5.6,9.6
1,1,20,1130,C   ,204.7,6.9,9.0,1.0,207.1,5.7,12.2,1.6,-4.3,63.9,-1.2,0.0,461.20,207.60,98.63,0.45,1.8,5.6,9.6
1,1,20,1230,D   ,206.3,7.6,9.3,2.8,207.8,6.1,12.6,3.4,-3.7,58.4,-1.2,0.0,444.40,226.90,98.54,0.47,1.8,5.6,9.6
1,1,20,1330,D   ,204.8,7.9,9.2,3.9,207.5,6.1,13.6,4.5,-2.5,58.9,-1.2,0.0,379.70,203.80,98.44,0.51,1.8,5.6,9.6
1,1,20,1430,D   ,190.7,7.9,9.8,4.8,194.2,6.1,12.6,5.3,-1.2,62.0,-1.0,0.0,272.20,142.90,98.38,0.56,1.8,5.6,9.6
1,1,20,1530,D   ,189.1,8.2,9.1,5.1,192.6,5.9,12.1,5.4,-0.5,64.2,-0.6,0.0,129.80,44.20,98.35,0.59,1.7,5.6,9.6
1,1,20,1630,D   ,186.5,7.9,9.7,4.4,192.8,5.4,12.7,4.5,0.3,72.3,-0.3,0.0,15.80,-29.70,98.28,0.63,1.7,5.6,9.6
1,1,20,1730,D   ,193.4,7.9,9.2,4.0,200.7,5.3,12.7,4.1,0.5,75.7,-0.2,0.0,0.00,-34.20,98.23,0.63,1.7,5.6,9.6
1,1,20,1830,D   ,192.0,8.4,9.8,4.1,199.0,5.5,13.2,4.2,0.4,74.7,-0.1,0.0,0.00,-38.40,98.17,0.63,1.7,5.6,9.6
1,1,20,1930,D   ,192.2,9.1,9.5,4.6,199.1,6.1,12.1,4.6,0.1,71.0,-0.1,0.0,0.00,-34.50,98.14,0.62,1.7,5.6,9.6
1,1,20,2030,D   ,195.4,9.2,10.0,4.9,200.6,6.1,12.5,4.9,-0.8,65.3,0.0,0.0,0.00,-38.10,98.13,0.58,1.6,5.6,9.6
1,1,20,2130,D   ,197.8,9.2,9.5,5.1,201.4,6.3,12.2,5.1,-1.4,61.1,-0.1,0.0,0.00,-40.00,98.12,0.55,1.6,5.6,9.6
1,1,20,2230,D   ,200.7,8.6,9.5,4.6,205.6,6.1,12.9,4.7,-1.7,61.9,-0.1,0.0,0.00,-41.70,98.10,0.54,1.6,5.6,9.6
1,1,20,2330,D   ,202.7,8.7,9.4,4.5,204.8,6.2,12.5,4.5,-1.9,61.5,-0.1,0.0,0.00,-43.20,98.06,0.53,1.6,5.6,9.6
1,1,20,2400,X   ,209.0,6.9,8.2,0.2,211.8,4.9,11.5,0.3,-3.4,77.2,-0.2,0.0,119.60,23.20,98.46,0.48,1.8,5.6,9.6
2,1,20,30,D   ,203.7,8.5,10.0,4.1,207.9,5.9,12.5,4.2,-1.9,63.4,-0.2,0.0,0.00,-43.90,98.02,0.53,1.6,5.6,9.6
2,1,20,130,D   ,204.2,8.2,9.8,4.1,207.3,5.9,11.8,4.1,-1.6,64.1,-0.2,0.0,0.00,-45.00,98.01,0.54,1.6,5.6,9.6
2,1,20,230,D   ,207.6,8.1,8.7,3.9,210.3,5.6,11.4,4.0,-1.6,64.7,-0.1,0.0,0.00,-45.70,98.02,0.54,1.6,5.6,9.6
2,1,20,330,D   ,208.1,8.0,8.7,3.6,210.9,5.5,12.3,3.7,-1.6,65.9,-0.1,0.0,0.00,-46.60,98.01,0.54,1.6,5.6,9.6
2,1,20,430,D   ,208.5,8.1,8.3,3.3,209.0,5.5,12.4,3.4,-1.6,67.8,-0.1,0.0,0.00,-47.40,97.98,0.54,1.6,5.6,9.6
2,1,20,530,D   ,208.6,7.9,8.4,3.1,210.6,5.3,12.2,3.1,-1.4,70.3,-0.1,0.0,0.00,-47.70,98.00,0.55,1.6,5.6,9.6
2,1,20,630,D   ,209.7,8.2,8.6,3.0,209.8,5.6,11.9,3.0,-1.1,72.5,-0.1,0.0,0.00,-47.90,98.02,0.57,1.6,5.5,9.6
2,1,20,730,D   ,209.8,8.5,8.1,2.9,208.6,5.8,11.6,3.0,-0.8,74.7,-0.2,0.0,8.20,-41.50,98.02,0.58,1.6,5.5,9.6
2,1,20,830,D   ,213.3,9.5,8.1,3.4,212.2,6.5,12.5,3.6,-0.2,74.6,-0.3,0.0,112.50,8.40,98.10,0.60,1.6,5.5,9.6
2,1,20,930,D   ,224.4,8.9,10.1,4.7,228.7,6.5,13.3,5.1,0.6,71.2,-0.8,0.0,271.40,124.10,98.23,0.64,1.6,5.6,9.6
2,1,20,1030,D   ,229.3,8.0,9.8,5.9,233.6,6.1,13.7,6.6,1.4,69.0,-1.4,0.0,366.10,235.40,98.28,0.68,1.6,5.6,9.6
2,1,20,1130,D   ,235.4,8.1,9.7,6.6,239.9,6.5,13.4,7.4,2.2,69.0,-1.5,0.0,394.80,252.50,98.23,0.72,1.6,5.6,9.6
2,1,20,1230,D   ,231.6,7.7,11.6,7.4,236.4,6.1,15.3,8.3,2.8,68.0,-1.7,0.0,396.80,248.80,98.18,0.75,1.7,5.6,9.6
2,1,20,1330,D   ,233.1,6.4,11.4,7.9,239.6,5.3,14.4,8.6,3.3,69.0,-1.3,0.0,249.40,146.70,98.17,0.78,1.7,5.5,9.6
2,1,20,1430,D   ,231.4,6.7,8.9,7.8,236.2,5.1,12.2,8.3,3.8,72.4,-1.0,0.0,98.10,55.70,98.23,0.81,1.8,5.5,9.6
2,1,20,1530,C   ,216.6,6.1,9.7,7.8,221.5,4.6,13.1,8.2,4.2,74.8,-0.8,0.0,55.60,26.20,98.28,0.83,1.9,5.5,9.6
2,1,20,1630,D   ,218.0,5.3,8.1,7.5,225.7,3.9,11.8,7.8,4.2,76.9,-0.5,0.0,4.50,-12.60,98.33,0.83,2.0,5.5,9.6
2,1,20,1730,D   ,216.1,5.1,7.2,6.9,220.0,3.3,12.2,7.1,4.5,81.7,-0.2,0.0,0.00,-22.30,98.29,0.84,2.0,5.5,9.6
2,1,20,1830,D   ,214.4,5.6,8.1,6.6,218.1,3.6,11.8,6.7,4.6,84.2,-0.2,0.0,0.00,-19.70,98.31,0.85,2.1,5.5,9.6
2,1,20,1930,D   ,234.2,6.2,7.4,6.7,241.4,3.9,10.4,6.7,4.5,84.9,-0.1,0.0,0.00,-17.80,98.32,0.84,2.1,5.5,9.6
2,1,20,2030,D   ,242.3,5.9,6.5,6.5,248.4,3.8,10.1,6.6,4.5,85.1,-0.2,0.0,0.00,-15.30,98.37,0.84,2.2,5.5,9.6
2,1,20,2130,D   ,246.6,5.2,5.5,6.2,248.6,3.3,9.4,6.2,4.4,86.9,-0.1,0.0,0.00,-15.80,98.38,0.84,2.2,5.5,9.6
2,1,20,2230,D   ,258.9,5.4,6.2,5.9,264.9,3.2,9.3,5.8,4.3,88.7,0.1,0.0,0.00,-16.70,98.45,0.83,2.2,5.5,9.5
2,1,20,2330,D   ,267.2,4.8,9.3,5.4,271.1,2.8,10.2,5.3,4.1,90.9,0.2,0.0,0.00,-22.60,98.43,0.82,2.3,5.5,9.5
2,1,20,2400,X   ,221.6,7.1,8.3,5.5,224.9,5.0,12.1,5.7,1.7,74.6,-0.5,0.0,81.60,24.60,98.19,0.70,1.8,5.5,9.6
3,1,20,30,D   ,299.3,5.1,8.2,4.7,296.2,2.8,12.5,4.6,3.7,92.8,0.2,0.0,0.00,-23.70,98.44,0.80,2.3,5.4,9.5
3,1,20,130,F   ,331.2,4.1,8.8,3.9,321.9,2.1,22.9,3.8,2.9,92.0,0.1,0.0,0.00,-31.00,98.45,0.75,2.3,5.4,9.5
3,1,20,230,D   ,342.9,4.4,3.8,3.4,335.5,2.1,12.2,3.1,2.2,92.6,0.7,0.0,0.00,-29.50,98.49,0.72,2.3,5.4,9.5
3,1,20,330,E   ,332.8,4.7,7.9,2.5,327.7,2.1,16.7,2.3,1.7,94.3,0.5,0.0,0.00,-19.50,98.50,0.69,2.3,5.4,9.5
3,1,20,430,E   ,331.7,3.4,12.0,2.4,323.5,2.0,16.7,2.5,1.8,94.4,-0.3,0.0,0.00,-0.90,98.58,0.70,2.3,5.4,9.5
3,1,20,530,E   ,322.8,2.7,11.2,2.3,312.7,1.9,17.3,2.6,1.9,93.3,-0.6,0.0,0.00,-2.70,98.66,0.70,2.3,5.4,9.5
3,1,20,630,E   ,319.8,2.9,12.2,2.2,313.5,2.3,12.9,2.6,1.5,91.9,-0.7,0.0,0.00,-4.00,98.71,0.68,2.3,5.4,9.5
3,1,20,730,D   ,333.7,3.7,15.8,2.0,329.0,2.7,17.5,2.4,0.7,87.9,-0.7,0.0,3.70,-1.50,98.75,0.65,2.2,5.4,9.5
3,1,20,830,D   ,348.5,4.1,10.8,1.9,345.0,2.4,21.4,2.3,0.0,83.5,-0.8,0.0,38.60,19.00,98.80,0.61,2.2,5.4,9.5
3,1,20,930,C   ,1.9,3.5,17.0,1.9,8.4,2.5,23.2,2.4,-0.4,80.3,-1.0,0.0,86.00,44.30,98.86,0.59,2.2,5.4,9.5
3,1,20,1030,C   ,329.9,2.1,31.3,2.0,325.9,2.1,23.6,2.5,-0.6,79.1,-1.0,0.0,72.70,45.10,98.94,0.59,2.2,5.4,9.5
3,1,20,1130,B   ,354.6,2.2,36.3,2.0,353.5,2.0,32.9,2.5,-0.3,79.4,-1.1,0.0,95.90,61.80,98.87,0.60,2.3,5.4,9.5
3,1,20,1230,B   ,355.2,1.8,37.5,1.9,10.3,1.9,37.2,2.5,-0.4,78.9,-1.1,0.0,143.70,92.60,98.80,0.59,2.3,5.4,9.5
3,1,20,1330,B   ,2.9,1.5,49.5,2.2,13.6,1.7,40.0,2.7,-0.5,77.4,-1.2,0.0,144.60,91.40,98.77,0.59,2.3,5.4,9.5
3,1,20,1430,B   ,331.8,2.1,26.1,2.3,333.0,1.9,31.4,2.9,-0.4,76.9,-1.1,0.0,67.20,41.00,98.82,0.59,2.3,5.4,9.5
3,1,20,1530,D   ,306.1,2.7,10.9,2.2,304.2,2.6,14.3,2.6,-0.5,77.8,-0.9,0.0,23.60,11.60,98.86,0.59,2.4,5.4,9.5
3,1,20,1630,D   ,336.4,3.6,12.2,1.6,336.2,2.5,15.4,2.0,-0.8,79.8,-0.9,0.0,3.20,-3.60,98.86,0.58,2.4,5.4,9.5
3,1,20,1730,E   ,350.3,4.3,10.7,0.7,350.7,2.4,19.9,1.1,-1.4,82.0,-0.9,0.0,0.00,-6.00,98.87,0.55,2.4,5.3,9.5
3,1,20,1830,F   ,331.8,3.1,15.1,0.4,330.4,2.2,18.2,0.8,-1.5,83.1,-0.8,0.0,0.00,-5.30,98.92,0.55,2.4,5.3,9.5
3,1,20,1930,F   ,328.2,3.0,14.1,0.3,327.9,2.3,18.6,0.7,-1.9,81.4,-0.8,0.0,0.00,-5.60,98.93,0.53,2.4,5.3,9.5
3,1,20,2030,F   ,357.2,3.0,19.4,0.3,3.2,1.7,26.4,0.7,-2.2,79.7,-0.7,0.0,0.00,-5.70,98.92,0.52,2.4,5.3,9.5
3,1,20,2130,F   ,354.1,2.5,23.6,0.4,348.9,1.5,20.2,0.7,-2.6,77.1,-0.7,0.0,0.00,-6.30,98.94,0.51,2.4,5.3,9.5
3,1,20,2230,F   ,347.1,2.8,12.6,0.3,344.7,1.7,21.3,0.7,-2.8,76.2,-0.7,0.0,0.00,-7.00,98.94,0.50,2.4,5.3,9.5
3,1,20,2330,E   ,336.0,2.7,10.7,0.2,329.9,1.8,16.1,0.6,-2.9,76.8,-0.7,0.0,0.00,-8.00,98.93,0.49,2.4,5.3,9.5
3,1,20,2400,X   ,335.9,3.2,18.4,1.8,333.6,2.1,22.5,2.2,-0.1,83.7,-0.6,0.0,28.30,10.30,98.78,0.61,2.3,5.4,9.5
4,1,20,30,F   ,327.8,2.1,9.5,0.2,322.8,1.5,18.2,0.5,-2.9,78.0,-0.6,0.0,0.00,-7.60,98.92,0.49,2.4,5.3,9.5
4,1,20,130,E   ,325.8,2.9,12.0,-0.1,318.5,2.1,14.5,0.3,-2.6,80.1,-0.7,0.0,0.00,-8.70,98.94,0.50,2.4,5.3,9.5
