0,622,9,0,2381,0.1109,99999,99999,99999,99999,0.000,-1.3115,99999
99,0.20,3,10,0.99,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,445,-0.1142,373.28,368.42,205.69,9.2351,0.0000,99999,99999
0,625,8,0,3002,0.1223,99999,99999,99999,99999,0.000,-1.3969,99999
99,0.19,3,10,1.08,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,500,-0.0845,436.79,430.59,205.79,9.6495,0.0000,99999,99999
0,628,6,0,3571,0.1563,99999,99999,99999,99999,0.000,-1.4863,99999
99,0.19,0,10,1.16,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,2,20,500,-0.114,394.13,388.29,202.59,9.8562,0.0000,99999,99999
0,626,2,0,0.307,0.129,99999,99999,99999,99999,0.0,-1.4,99999
9,9.2,0,1,1.1,0.0740,3.7470,8.2100,99999,     X ,111111001,11000011,111110
 M  ,1,2,20,515,-0.0921,479.79,474.86,201.01,8.2117,0.0000,99999,99999
0,629,8,0,3839,0.1462,99999,99999,99999,99999,0.000,-1.4434,99999
99,0.18,3,10,1.20,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,530,-0.0979,455.70,452.08,199.38,7.2206,0.0000,99999,99999
0,629,1,0,3696,0.1444,99999,99999,99999,99999,0.000,-1.3528,99999
99,0.17,7,10,1.21,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,545,-0.0306,451.31,446.83,205.26,8.0733,0.0000,99999,99999
0,625,9,0,3026,0.1705,99999,99999,99999,99999,0.000,-1.3492,99999
99,0.17,6,10,1.19,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,600,0.0204,439.25,435.29,207.95,7.6986,0.0000,99999,99999
0,628,6,0,3609,0.2183,99999,99999,99999,99999,0.000,-1.5174,99999
99,0.16,6,10,1.27,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,2,20,600,-0.050,456.51,451.48,203.32,8.5057,0.0000,99999,99999
0,628,4,0,0.354,0.170,99999,99999,99999,99999,0.0,-1.4,99999
9,9.1,8,1,1.2,0.0740,3.7450,8.2100,99999,     X ,111111001,11000011,111110
 M  ,1,2,20,615,0.0827,405.90,402.06,212.73,7.8773,0.0000,99999,99999
0,635,8,0,5199,0.2888,99999,99999,99999,99999,0.000,-1.7436,99999
99,0.16,0,10,1.30,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,630,0.0853,398.25,393.39,213.71,8.9447,0.0000,99999,99999
0,634,1,0,4800,0.2707,99999,99999,99999,99999,0.000,-1.6232,99999
99,0.15,1,10,1.29,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,645,0.1327,406.19,402.96,207.16,7.2146,0.0000,99999,99999
0,640,2,0,6094,0.3144,99999,99999,99999,99999,0.000,-1.6476,99999
99,0.14,4,10,1.41,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,700,0.1926,398.22,393.98,208.27,8.3639,0.0000,99999,99999
0,639,2,0,5926,0.4022,99999,99999,99999,99999,0.000,-1.7793,99999
99,0.14,1,10,1.34,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,2,20,700,0.123,402.14,397.62,210.46,8.5846,0.0000,99999,99999
0,637,3,0,0.550,0.319,99999,99999,99999,99999,0.0,-1.7,99999
9,9.1,5,1,1.3,0.0740,3.7460,8.2100,99999,     X ,111111001,11000011,111110
 M  ,1,2,20,715,0.2634,412.02,407.65,210.83,8.3448,0.0000,99999,99999
0,642,4,0,6625,0.4553,99999,99999,99999,99999,0.7946,-1.4743,99999
99,0.13,3,10,1.37,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,730,0.3819,440.20,433.08,226.33,10.305,0.0000,99999,99999
0,649,7,0,8163,0.5768,99999,99999,99999,99999,2.4885,-0.5891,99999
99,0.12,6,10,1.40,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,745,0.4662,537.31,532.77,230.23,7.4470,0.0000,99999,99999
0,660,2,1,425,0.7165,99999,99999,99999,99999,4.9742,0.7603,99999
99,0.10,6,10,1.43,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,800,0.4853,494.82,489.91,235.40,8.0715,0.0000,99999,99999
0,659,9,1,319,0.6736,99999,99999,99999,99999,7.3914,2.8828,99999
99,0.08,8,10,1.42,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,2,20,800,0.399,471.09,460.30,226.47,12.254,0.0000,99999,99999
0,653,1,0,0.888,0.606,99999,99999,99999,99999,3.9,0.4,99999
9,9.1,1,1,1.4,0.0790,3.7500,8.2100,99999,     X ,111111001,11000011,111110
 M  ,1,2,20,815,0.5267,527.01,522.63,233.62,7.3835,0.0000,99999,99999
0,657,0,0,9764,0.7103,99999,99999,99999,99999,14.520,6.6473,99999
99,0.07,8,10,1.30,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,830,0.5747,528.48,521.77,237.99,9.1245,0.0000,99999,99999
