0,398,2,-5,7723,-0.4354,99999,99999,99999,99999,0.000,-43.243,99999
99,0.10,7,66,0.680,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,445,-0.2729,829.05,822.28,180.15,7.3204,0.0000,99999,99999
0,405,3,-5,5414,-0.3696,99999,99999,99999,99999,0.000,-43.095,99999
99,0.09,5,67,0.053,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,500,-0.2230,776.95,770.96,177.43,7.1124,0.0000,99999,99999
0,410,0,-5,3929,-0.3327,99999,99999,99999,99999,0.000,-43.886,99999
99,0.07,7,67,0.653,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,500,-0.316,796.37,789.89,179.77,7.3064,0.0000,99999,99999
0,402,9,-5,0.624,-0.436,99999,99999,99999,99999,0.0,-43.8,99999
9,9.1,0,   ,67.0,-0.1600,3.3640,7.0900,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,515,-0.1634,741.96,735.48,174.07,7.5710,0.0000,99999,99999
0,412,3,-5,3179,-0.3593,99999,99999,99999,99999,0.000,-43.211,99999
99,0.05,2,68,0.070,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,530,-0.0505,825.47,819.89,174.29,6.6621,0.0000,99999,99999
0,416,5,-5,1862,-0.2404,99999,99999,99999,99999,0.000,-42.913,99999
99,0.03,2,68,0.467,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,545,0.1151,817.57,812.35,175.54,6.4730,0.0000,99999,99999
0,421,1,-5,378,-0.0231,99999,99999,99999,99999,0.000,-39.049,99999
99,0.00,9,68,0.132,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,600,0.3394,828.62,822.46,176.37,6.9871,0.0000,99999,99999
0,427,9,-4,8262,0.1812,99999,99999,99999,99999,0.000,-32.493,99999
98,0.99,3,68,0.226,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,600,0.060,803.41,797.44,175.09,6.9824,0.0000,99999,99999
0,419,4,-5,0.092,-0.110,99999,99999,99999,99999,0.0,-39.4,99999
