0,636,5,0,5355,2.2248,220.06,206.50,1.9089,20.105,0.000,-13.807,107.15
99,0.45,3,86,0.406,99999,99999,99999,0.001,     F ,111111111,11111111,1110001
 M  ,1,4,20,430,2.0577,335.12,331.04,351.72,8.9396,0.0000,0.00,24.71
0,634,7,0,4982,2.2401,219.90,204.61,353.33,21.359,0.000,-13.664,26.66
99,0.46,0,86,0.267,99999,99999,99999,0.005,     F ,111111111,11111111,1110001
 M  ,1,4,20,445,2.0662,312.05,309.65,353.74,7.1001,0.0000,0.00,24.14
0,637,4,0,5534,2.2315,199.03,187.82,0.9547,19.226,0.000,-13.601,34.90
99,0.46,4,86,0.301,99999,99999,99999,0.005,     F ,111111111,11111111,1110001
 M  ,1,4,20,500,2.1177,401.14,397.64,4.3686,7.5710,0.0000,0.00,41.57
0,631,9,0,4385,2.2588,216.91,206.92,22.413,17.389,0.000,-13.554,118.35
99,0.46,3,86,0.104,99999,99999,99999,0.001,     E ,111111111,11111111,1110001
 H  ,1,4,20,500,2.072,361.80,357.04,356.88,9.2989,0.0000,0.00,32.68
0,635,1,0,0.506,2.239,213.98,197.84,4.72,19.573,0.0,-13.7,71.77
9,9.4,6,   ,86.3,5.3340,5.3740,6.6170,0.003,     F ,111111111,11111111,1111111
 M  ,1,4,20,515,2.1333,302.39,297.79,9.4233,9.9956,0.0000,0.00,22.74
0,636,3,0,5309,2.2921,194.73,171.86,14.462,27.762,0.000,-13.327,30.76
99,0.46,7,86,0.088,99999,99999,99999,0.006,     F ,111111111,11111111,1110001
 M  ,1,4,20,530,2.1826,333.43,329.26,12.086,9.0590,0.0000,0.00,23.18
0,633,3,0,4690,2.3318,224.41,215.42,23.117,16.218,0.000,-12.859,19.41
99,0.47,9,85,0.865,99999,99999,99999,0.005,     E ,111111111,11111111,1110001
 M  ,1,4,20,545,2.2162,314.33,310.17,10.311,9.3222,0.0000,0.00,27.06
0,638,0,0,5678,2.3694,191.46,180.95,16.767,18.975,2.6911,-10.538,55.74
99,0.48,6,85,0.745,99999,99999,99999,0.003,     D ,111111111,11111111,1110001
 M  ,1,4,20,600,2.2392,288.12,284.14,13.885,9.5147,0.0000,0.00,23.37
0,636,4,0,5345,2.4050,182.80,172.37,17.244,19.345,9.1465,-5.3761,40.95
99,0.49,8,85,0.744,99999,99999,99999,0.002,     D ,111111111,11111111,1110001
 H  ,1,4,20,600,2.193,309.57,305.21,11.404,9.6124,0.0000,0.00,24.09
0,636,0,0,0.526,2.350,198.35,184.84,18.19,21.024,3.0,-10.5,36.71
9,9.4,8,   ,85.9,5.2890,5.3780,6.6220,0.004,     D ,111111111,11111111,1111111
 M  ,1,4,20,615,2.2992,325.51,321.19,10.398,9.3316,0.0000,0.00,32.33
0,640,2,0,6171,2.4898,184.23,171.28,18.060,21.475,18.195,1.5148,96.69
99,0.51,8,85,0.601,99999,99999,99999,0.000,     D ,111111111,11111111,1110001
 M  ,1,4,20,630,2.3480,290.40,286.51,11.025,9.3797,0.0000,0.00,20.48
0,643,8,0,6930,2.5855,203.52,191.34,11.331,19.811,29.920,9.8440,16.93
99,0.52,8,85,0.345,99999,99999,99999,-0.006,     D ,111111111,11111111,1110001
 M  ,1,4,20,645,2.4269,288.46,282.83,6.3062,11.324,0.0000,0.00,20.46
0,649,5,0,8130,2.7226,205.23,192.28,8.3257,20.350,45.082,20.517,16.18
99,0.53,7,85,0.140,99999,99999,99999,-0.013,     D ,111111111,11111111,1110001
 M  ,1,4,20,700,2.5472,260.89,252.40,7.8464,14.606,0.0000,0.00,11.61
0,650,5,0,8347,2.8554,228.13,212.97,24.820,20.876,61.257,31.867,0.26
99,0.55,4,84,0.496,99999,99999,99999,-0.109,     C ,111111111,11111111,1110001
 H  ,1,4,20,700,2.405,291.31,285.57,8.9792,11.373,0.0000,0.00,21.22
0,646,0,0,0.739,2.663,205.28,190.72,15.82,20.637,38.6,15.9,32.52
9,9.5,3,   ,85.1,5.2500,5.3910,6.6250,-0.032,     D ,111111111,11111111,1111111
 M  ,1,4,20,715,2.6697,307.57,303.29,16.726,9.5636,0.0000,0.00,19.27
0,656,4,0,9596,3.0303,237.64,221.57,22.065,21.067,79.435,44.397,6.07
99,0.56,8,84,0.016,99999,99999,99999,-0.033,     C ,111111111,11111111,1110001
 M  ,1,4,20,730,2.8413,259.60,244.77,5.4595,19.364,0.0000,0.00,15.61
0,660,8,1,515,3.2351,212.05,186.53,2.0662,28.097,97.798,56.444,3.31
99,0.58,8,83,0.444,99999,99999,99999,-0.079,     C ,111111111,11111111,1110001
 M  ,1,4,20,745,3.0349,198.65,177.79,352.65,26.250,0.0000,99999,99999
0,664,5,1,1324,3.4432,237.38,217.81,347.16,23.259,120.63,71.769,99999
99,0.60,5,82,0.922,99999,99999,99999,99999,     C ,111111001,11111111,110000
 M  ,1,4,20,800,3.1154,279.47,274.92,14.266,10.331,0.0000,99999,99999
0,666,7,1,1760,3.5102,268.91,253.72,30.576,19.250,138.69,84.775,99999
99,0.62,2,82,0.450,99999,99999,99999,99999,     C ,111111001,11111111,110000
 H  ,1,4,20,800,2.915,261.32,247.30,9.0492,18.765,0.0000,0.00,17.44
0,662,1,1,0.080,3.305,238.99,210.02,11.72,23.156,109.1,64.3,4.69
9,9.6,0,   ,83.2,5.2130,5.4000,6.6290,-0.056,     C ,111111331,11111111,3111113
 M  ,1,4,20,815,3.2114,309.53,294.62,0.7086,17.779,0.0000,0.00,16.27
0,669,1,1,2284,3.6417,263.69,250.63,356.04,18.028,147.91,90.154,1.06
99,0.64,9,82,0.072,99999,99999,99999,-0.111,     C ,111111111,11111111,1110001
 M  ,1,4,20,830,3.4276,280.66,273.92,4.6275,12.551,0.0000,99999,99999
0,672,7,1,3026,3.8488,255.03,240.30,14.389,19.467,175.84,109.34,99999
99,0.66,1,81,0.605,99999,99999,99999,99999,     C ,111111001,11111111,110000
 M  ,1,4,20,845,3.6681,259.47,244.68,5.8191,19.342,0.0000,99999,99999
0,682,2,1,4971,4.1506,242.95,223.13,24.009,23.138,209.18,132.19,99999
99,0.68,5,80,0.875,99999,99999,99999,99999,     C ,111111001,11111111,110000
 M  ,1,4,20,900,3.9113,320.20,314.67,8.9942,10.645,0.0000,0.00,5.86
0,688,6,1,6257,4.3684,288.85,273.11,12.000,18.909,256.96,164.69,0.00
99,0.70,6,80,0.166,99999,99999,99999,-4.358,     C ,111111111,11111111,1110001
 H  ,1,4,20,900,3.555,292.47,281.57,5.0808,15.637,0.0000,0.00,11.06
0,678,1,1,0.413,4.002,262.63,243.12,11.27,19.981,197.5,124.1,0.53
9,9.6,8,   ,81.2,5.1870,5.4140,6.6430,-2.235,     C ,111111331,11111111,3111113
 M  ,1,4,20,915,4.3625,191.51,181.48,0.4494,18.540,0.0000,99999,99999
0,699,6,1,8448,4.9064,241.76,219.26,349.16,24.713,350.23,229.00,99999
99,0.72,3,78,0.277,99999,99999,99999,99999,     B ,111111001,11111111,110000
 M  ,1,4,20,930,4.8660,199.81,184.35,15.760,22.528,0.0000,99999,99999
0,710,7,2,693,5.4436,258.78,215.00,35.802,33.315,441.65,290.85,99999
99,0.74,2,76,0.852,99999,99999,99999,99999,     B ,111111001,11111111,110000
 M  ,1,4,20,945,5.3104,186.35,152.70,33.421,34.422,0.0000,99999,99999
0,716,4,2,1804,5.8251,242.06,132.60,68.471,54.469,508.48,338.63,99999
99,0.77,4,75,0.401,99999,99999,99999,99999,     B ,111111001,11111111,110000
 M  ,1,4,20,1000,5.9804,179.95,164.47,22.850,23.759,0.0000,99999,99999
0,725,2,2,3480,6.4095,246.32,215.05,35.377,28.861,527.20,347.61,99999
99,0.79,6,72,0.920,99999,99999,99999,99999,     B ,111111001,11111111,110000
 H  ,1,4,20,1000,5.130,189.41,167.09,17.364,27.803,0.0000,99999,99999
0,713,0,2,0.111,5.646,247.23,174.49,28.44,37.150,456.9,301.5,99999
9,9.7,6,   ,75.9,5.1830,5.4370,6.6580,99999,     B ,111111001,11111111,111110
 M  ,1,4,20,1015,6.4464,160.32,145.91,46.767,24.279,0.0000,99999,99999
0,736,7,2,5713,6.8812,240.31,185.58,69.517,38.656,605.89,404.92,99999
99,0.81,5,72,0.013,99999,99999,99999,99999,     B ,111111001,11111111,110000
 M  ,1,4,20,1030,6.9128,223.98,209.57,42.807,20.543,0.0000,99999,99999
0,740,7,2,6446,7.3657,271.60,236.97,47.022,28.925,715.48,492.57,99999
99,0.82,7,69,0.090,99999,99999,99999,99999,     A ,111111001,11111111,110000
 M  ,1,4,20,1045,7.2480,227.10,212.56,14.026,20.496,0.0000,99999,99999
0,736,5,2,5650,7.5313,277.09,202.33,31.626,42.073,599.57,404.15,99999
99,0.83,8,67,0.955,99999,99999,99999,99999,     B ,111111001,11111111,110000
 M  ,1,4,20,1100,7.7498,249.17,228.17,4.0050,23.515,0.0000,99999,99999
0,741,4,2,6596,7.8031,276.72,212.12,31.209,39.137,540.22,362.50,99999
99,0.84,5,66,0.318,99999,99999,99999,99999,     B ,111111001,11111111,110000
 H  ,1,4,20,1100,7.089,215.14,189.19,24.696,28.134,0.0000,99999,99999
0,738,8,2,0.610,7.395,266.43,202.15,44.15,37.526,615.3,416.0,99999
9,9.8,3,   ,68.8,5.2030,5.4580,6.6770,99999,     B ,111111001,11111111,111110
 M  ,1,4,20,1115,8.0378,265.13,214.66,336.90,35.340,0.0000,99999,99999
0,742,5,2,6772,8.2027,304.31,193.13,350.03,48.959,680.93,457.45,99999
99,0.84,1,64,0.131,99999,99999,99999,99999,     B ,111111001,11111111,110000
 M  ,1,4,20,1130,7.9048,262.41,241.19,16.779,23.030,0.0000,99999,99999
0,739,3,2,6148,8.0344,324.48,268.63,27.382,33.605,476.57,294.40,99999
99,0.82,7,64,0.397,99999,99999,99999,99999,     B ,111111001,11111111,110000
 M  ,1,4,20,1145,8.1533,273.30,240.69,57.299,27.982,0.0000,99999,99999
0,728,0,2,3995,8.3768,314.54,281.01,77.928,26.446,893.35,606.42,99999
99,0.79,3,62,0.613,99999,99999,99999,99999,     B ,111111001,11111111,110000
 M  ,1,4,20,1200,8.7565,256.82,236.29,55.030,22.904,0.0000,99999,99999
0,738,7,2,6051,9.1043,294.17,265.35,66.396,25.350,878.17,598.35,99999
99,0.77,9,60,0.464,99999,99999,99999,99999,     A ,111111001,11111111,110000
 H  ,1,4,20,1200,8.213,264.42,197.96,28.808,40.608,0.0000,99999,99999
0,737,1,2,0.574,8.430,309.38,212.47,45.68,34.887,732.3,489.2,99999
9,9.8,1,   ,62.9,5.2510,5.4670,6.6790,99999,     B ,111111001,11111111,111110
 M  ,1,4,20,1215,9.0732,252.45,181.55,19.290,42.926,0.0000,99999,99999
0,742,9,2,6874,9.3811,319.73,207.51,13.979,47.987,817.67,549.88,99999
